区分,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
H28(2016),15.5,15.6,60.2,8.6,0
R3(2021),15.6,15.5,60.7,8.2,0
,,,,,
,,,,,
