地域,Area,グロス平成28年(Gross2016)構成比(%),ネット平成28年(Net2016)構成比(%)
大手町,Otemachi,31.7,58.2
丸の内,Marunouchi,38.9,71.0
有楽町,Yurakucho,35.4,81.0
日比谷・内幸町,Hibiya/Uchisaiwaicho,20.0,56.2
霞が関,Kasumigaseki,27.3,41.1
永田町,Nagatacho,22.3,33.8
日本橋,Nihombashi,44.0,78.8
八重洲,Yaesu,42.3,78.1
京橋,Kyobashi,43.0,77.5
銀座,Ginza,42.8,79.2
新橋,Shimbashi,37.4,72.6
六本木・虎ノ門,Roppongi/Toranomon,34.3,52.8
新宿,Shinjuku,35.3,59.7
渋谷,Shibuya,39.8,64.7
池袋,Ikebukuro,40.0,70.2
大崎,Osaki,33.7,56.4
上野・浅草,Ueno/Asakusa,41.9,71.5
錦糸町・亀戸,Kinshicho/Kameido,34.7,63.3
台場,Daiba,15.6,53.5
有明,Ariake,16.5,51.2
青海,Aomi,15.7,47.6
品川,Shinagawa,24.7,43.7
秋葉原,Akihabara,36.6,77.8
