地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
千代田区,Chiyoda-ku,99.4,0.2,0.4,0.1
中央区,Chuo-ku,98.4,0.6,0.9,0.1
港区,Minato-ku,97,1.5,1.3,0.3
新宿区,Shinjuku-ku,88.4,5.1,6.2,0.3
文京区,Bunkyo-ku,84,7.8,7.7,0.6
台東区,Taito-ku,83.7,5.9,9.2,1.2
墨田区,Sumida-ku,77,13.2,9.1,0.7
江東区,Koto-ku,87.9,7.5,4.3,0.2
品川区,Shinagawa-ku,79.5,7.4,12.3,0.7
目黒区,Meguro-ku,68.6,16.7,13.8,0.9
大田区,Ota-ku,64.6,15.5,18.3,1.7
世田谷区,Setagaya-ku,54.7,16.1,27.7,1.5
渋谷区,Shibuya-ku,89.4,4.4,6,0.2
中野区,Nakano-ku,60,14.8,23.3,1.9
杉並区,Suginami-ku,45.8,15.6,36.3,2.3
豊島区,Toshima-ku,77.8,10.9,10.7,0.6
北区,Kita-ku,69.9,13,16.5,0.6
荒川区,Arakawa-ku,65.7,20.3,13.2,0.7
板橋区,Itabashi-ku,66.1,16.8,15.9,1.2
練馬区,Nerima-ku,51.9,9.4,35.3,3.5
足立区,Adachi-ku,57.7,19.8,20.9,1.6
葛飾区,Katsushika-ku,54.9,16.3,26.6,2.2
江戸川区,Edogawa-ku,54.6,22.6,20.9,1.9
