地域,Area,ネット平成28年(Ｎｅｔ2016)構成比(%),ネット令和3年(Ｎｅｔ2021)構成比(%)
大手町,Otemachi,1267.9,1298.6
丸の内,Marunouchi,1134.0,1184.3
有楽町,Yurakucho,1057.2,991.3
日比谷・内幸町,Hibiya/Uchisaiwaicho,761.8,757.1
霞が関,Kasumigaseki,613.6,473.1
永田町,Nagatacho,322.6,315.3
日本橋,Nihombashi,1044.7,1069.9
八重洲,Yaesu,809.6,1109.5
京橋,Kyobashi,1006.3,1143.2
銀座,Ginza,781.2,808.1
新橋,Shimbashi,703.1,739.5
六本木・虎ノ門,Roppongi/Toranomon,443.1,540.0
新宿,Shinjuku,705.1,753.4
渋谷,Shibuya,526.9,559.4
池袋,Ikebukuro,617.0,646.2
大崎,Osaki,626.5,658.9
上野・浅草,Ueno/Asakusa,360.8,375.7
錦糸町・亀戸,Kinshicho/Kameido,375.5,396.5
台場,Daiba,549.0,535.8
有明,Ariake,335.3,333.1
青海,Aomi,301.0,291.7
品川,Shinagawa,486.1,500.0
秋葉原,Akihabara,764.3,785.9
