地域,Area,平成28年(2016)（棟）,令和3年(2021)（棟）
大手町,Otemachi,48,49
丸の内,Marunouchi,83,83
有楽町,Yurakucho,87,83
日比谷・内幸町,Hibiya/Uchisaiwaicho,44,41
霞が関,Kasumigaseki,63,54
永田町,Nagatacho,118,118
日本橋,Nihombashi,651,612
八重洲,Yaesu,224,134
京橋,Kyobashi,345,303
銀座,Ginza,1887,1833
新橋,Shimbashi,2004,1905
六本木・虎ノ門,Roppongi/Toranomon,6943,6533
新宿,Shinjuku,3319,3188
渋谷,Shibuya,2712,2623
池袋,Ikebukuro,3688,3526
大崎,Osaki,1322,1306
上野・浅草,Ueno/Asakusa,10233,9938
錦糸町・亀戸,Kinshicho/Kameido,5087,4975
台場,Daiba,47,44
有明,Ariake,97,144
青海,Aomi,54,64
品川,Shinagawa,850,826
秋葉原,Akihabara,714,681
