地域,Area,グロス令和3年(Gross2021)構成比(%),ネット令和3年(Net2021)構成比(%)
山手線内側,InsideJRYamanoteLine,34.8,52.3
環状６号線内側,InsideRingRoadNo.6,32.0,53.6
環状７号線内側,InsideRingRoadNo.7,31.9,53.5
