地域,Area,平成28年(2016)（m2）,令和3年(2021)（m2）,,,,,,,
大手町,Otemachi,5217,5677.2,,,,,,,
丸の内,Marunouchi,4529.6,4717.6,,,,,,,
有楽町,Yurakucho,962.3,1156,,,,,,,
日比谷・内幸町,Hibiya/Uchisaiwaicho,3063.6,3294.9,,,,,,,
霞が関,Kasumigaseki,5255.3,6235.5,,,,,,,
永田町,Nagatacho,3954.8,4072,,,,,,,
日本橋,Nihombashi,473,486.1,,,,,,,
八重洲,Yaesu,365.9,513.7,,,,,,,
京橋,Kyobashi,359.2,414.1,,,,,,,
銀座,Ginza,248.6,261.4,,,,,,,
新橋,Shimbashi,250.1,275.8,,,,,,,
六本木・虎ノ門,Roppongi/Toranomon,446,500.7,,,,,,,
新宿,Shinjuku,484.1,501.7,,,,,,,
渋谷,Shibuya,350.2,375.8,,,,,,,
池袋,Ikebukuro,253.5,259.4,,,,,,,
大崎,Osaki,561,560.7,,,,,,,
上野・浅草,Ueno/Asakusa,155.2,164.6,,,,,,,
錦糸町・亀戸,Kinshicho/Kameido,221.2,226.9,,,,,,,
台場,Daiba,5103.9,5589.2,,,,,,,
有明,Ariake,8236.6,7295.5,,,,,,,
青海,Aomi,6750.2,6090.2,,,,,,,
品川,Shinagawa,1556.9,1589.4,,,,,,,
秋葉原,Akihabara,240.8,258.6,,,,,,,
