地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%),,
山手線内側,InsideJRYamanoteLine,8.5,16.9,2.3,0.2,17.1,3.1,5.4,3.1,1.3,15.4,25.2,0.3,0.5,0.8,-,,-
環状６号線内側,InsideRingRoadNo.6,4.1,12.4,2,2.5,13.6,3.8,6.2,2,1.2,16.4,26.4,1.8,1.6,6,-,,
環状７号線内側,InsideRingRoadNo.7,2.8,11.1,2.1,2,9.1,3.1,6.1,1.3,1.1,23.9,28.7,2,1.5,5.2,0,,
