地域,Area,グロスGross（棟/ha）,ネットNet（棟/ha）
大手町,Otemachi,1.0,1.9
丸の内,Marunouchi,1.2,2.2
有楽町,Yurakucho,4.5,10.4
日比谷・内幸町,Hibiya/Uchisaiwaicho,1.2,3.3
霞が関,Kasumigaseki,1.3,1.9
永田町,Nagatacho,1.7,2.5
日本橋,Nihombashi,11.8,21.1
八重洲,Yaesu,14.8,27.3
京橋,Kyobashi,15.5,27.8
銀座,Ginza,21.7,40.2
新橋,Shimbashi,20.6,40.0
六本木・虎ノ門,Roppongi/Toranomon,14.6,22.4
新宿,Shinjuku,12.2,20.7
渋谷,Shibuya,17.6,28.6
池袋,Ikebukuro,22.5,39.4
大崎,Osaki,10.6,17.8
上野・浅草,Ueno/Asakusa,37.8,64.4
錦糸町・亀戸,Kinshicho/Kameido,24.8,45.2
台場,Daiba,0.6,2.0
有明,Ariake,0.4,1.2
青海,Aomi,0.5,1.5
品川,Shinagawa,3.6,6.4
秋葉原,Akihabara,19.6,41.5
