区分,ネット平成28年(Net2016)構成比(%),ネット令和3年(Net2021)構成比(%)
BP-1／官公庁施設,171.4,164.2
BP-2／教育文化施設,107.9,110
BP-3／厚生医療施設,203.8,204.3
BP-4／供給処理施設,92.5,88
BC-1／事務所建築物,486.5,508.4
BC-2／専用商業施設,217.2,233.1
BC-3／住商併用施設,214.4,220.4
BC-4／宿泊・遊興施設,496,522.7
BC-5／スポーツ・興行施設,128.4,124.2
BR-1／独立住宅,111.2,113.6
BR-2／集合住宅,262.9,271.5
BI-1／専用工場,120.4,118.9
BI-2／住居併用工場,155.2,157.6
BI-3／倉庫運輸関係施設,133,135.8
BA／農林漁業施設,35.7,38.7
