地域,Area,,平成28年(2016)（m2）,令和3年(2021)（m2）
千代田区,Chiyoda-ku,,591.3,623.9
中央区,Chuo-ku,,278.5,297.4
港区,Minato-ku,,469.2,494.9
新宿区,Shinjuku-ku,,248.2,251.7
文京区,Bunkyo-ku,,222.8,224.5
台東区,Taito-ku,,145.5,154.5
墨田区,Sumida-ku,,163.3,166.4
江東区,Koto-ku,,391.4,420.1
品川区,Shinagawa-ku,,223.5,222.9
目黒区,Meguro-ku,,213.5,211.2
大田区,Ota-ku,,232.4,234.8
世田谷区,Setagaya-ku,,233,228.7
渋谷区,Shibuya-ku,,283.5,285.1
中野区,Nakano-ku,,174.6,173
杉並区,Suginami-ku,,198.5,195.1
豊島区,Toshima-ku,,170.3,171.1
北区,Kita-ku,,186.8,188.2
荒川区,Arakawa-ku,,152.4,153.4
板橋区,Itabashi-ku,,218.5,218.7
練馬区,Nerima-ku,,206.9,203.9
足立区,Adachi-ku,,206.4,206.3
葛飾区,Katsushika-ku,,178,173.8
江戸川区,Edogawa-ku,,182.4,182.3
