地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
大手町,Otemachi,100,0,0,0
丸の内,Marunouchi,100,0,0,0
有楽町,Yurakucho,99.9,0.1,0,0
日比谷・内幸町,Hibiya/Uchisaiwaicho,99.9,0.1,0,0
霞が関,Kasumigaseki,99.9,0.1,0,0
永田町,Nagatacho,99.4,0.4,0.3,0
日本橋,Nihombashi,99.7,0.1,0.2,0
八重洲,Yaesu,99.6,0,0.4,0
京橋,Kyobashi,99.6,0.2,0.2,0
銀座,Ginza,99.2,0.3,0.5,0
新橋,Shimbashi,98.2,0.9,0.8,0.1
六本木・虎ノ門,Roppongi/Toranomon,97.8,0.7,1.2,0.2
新宿,Shinjuku,98.9,0.5,0.6,0
渋谷,Shibuya,98.3,0.8,0.9,0
池袋,Ikebukuro,97.1,1.1,1.8,0.1
大崎,Osaki,98.9,0.4,0.6,0
上野・浅草,Ueno/Asakusa,90.6,3.3,5.4,0.7
錦糸町・亀戸,Kinshicho/Kameido,90.8,4.3,4.7,0.2
台場,Daiba,99.8,0.2,0,0
有明,Ariake,98.5,1.5,0,0
青海,Aomi,97.5,2.5,0,0
品川,Shinagawa,98.9,0.7,0.4,0
秋葉原,Akihabara,99,0.2,0.7,0.1
