地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
山手線内側,InsideJRYamanoteLine,27.9,29.8,40.5,1.9,-
環状６号線内側,InsideRingRoadNo.6,21.1,26.8,42,10,-
環状７号線内側,InsideRingRoadNo.7,18,20.8,51.8,9.4,0
