地域,Area,平成28年(2016)構成比(%),令和3年(2021)構成比(%)
大手町,Otemachi,98.9,99
丸の内,Marunouchi,75.7,78.6
有楽町,Yurakucho,92.5,93.3
日比谷・内幸町,Hibiya/Uchisaiwaicho,94.8,95
霞が関,Kasumigaseki,91.8,83.4
永田町,Nagatacho,82.3,82.4
日本橋,Nihombashi,97.3,97.1
八重洲,Yaesu,93.6,93.7
京橋,Kyobashi,96.8,97.4
銀座,Ginza,94.2,95.2
新橋,Shimbashi,84.8,87.3
六本木・虎ノ門,Roppongi/Toranomon,73.4,75.5
新宿,Shinjuku,85.2,85.8
渋谷,Shibuya,81.6,84.3
池袋,Ikebukuro,77.7,78.5
大崎,Osaki,83.9,85.9
上野・浅草,Ueno/Asakusa,66.9,69.3
錦糸町・亀戸,Kinshicho/Kameido,62.5,66
台場,Daiba,89.6,89.6
有明,Ariake,45.5,65.2
青海,Aomi,55.3,55.9
品川,Shinagawa,66.1,66.9
秋葉原,Akihabara,83.9,86.4
