地域,Area,平成28年(2016)（棟）,令和３年(2021)（棟）
千代田区,Chiyoda-ku,11119,10618
中央区,Chuo-ku,16495,15277
港区,Minato-ku,26997,26143
新宿区,Shinjuku-ku,50108,49781
文京区,Bunkyo-ku,35705,35401
台東区,Taito-ku,38424,37489
墨田区,Sumida-ku,46467,46009
江東区,Koto-ku,51071,50659
品川区,Shinagawa-ku,61288,60913
目黒区,Meguro-ku,50824,51310
大田区,Ota-ku,134420,136131
世田谷区,Setagaya-ku,169431,173514
渋谷区,Shibuya-ku,36777,36432
中野区,Nakano-ku,64178,64637
杉並区,Suginami-ku,121099,123716
豊島区,Toshima-ku,52423,51834
北区,Kita-ku,62435,62197
荒川区,Arakawa-ku,40084,39781
板橋区,Itabashi-ku,91320,91796
練馬区,Nerima-ku,147732,151434
足立区,Adachi-ku,141126,143008
葛飾区,Katsushika-ku,102133,106130
江戸川区,Edogawa-ku,130139,131304
