地域,Area,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等（道路）構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
大手町,Otemachi,60.6,0.5,1.2,0.2,35.3,-,2.2,-,-
丸の内,Marunouchi,57,0.1,0.1,0,42.7,-,0,-,-
有楽町,Yurakucho,50.1,0,-,1.3,48.6,-,0,-,-
日比谷・内幸町,Hibiya/Uchisaiwaicho,35.7,0.2,38.2,0.1,25.8,-,-,-,-
霞が関,Kasumigaseki,67.5,-,-,0.5,32,-,-,-,-
永田町,Nagatacho,68,0.9,6.2,1.9,23.1,-,-,-,-
日本橋,Nihombashi,53.9,0.4,0.3,3.4,40.4,-,1.6,-,-
八重洲,Yaesu,45.4,3.2,0.1,12.4,38.2,-,0.8,-,-
京橋,Kyobashi,56.2,0.8,0.6,0.7,41.7,-,0,-,-
銀座,Ginza,55.2,0.7,0.7,0.4,42.9,-,0.1,-,-
新橋,Shimbashi,54,1.8,1.2,0.4,42.6,-,-,-,-
六本木・虎ノ門,Roppongi/Toranomon,68.8,1.7,5.2,1,23.3,-,-,0,-
新宿,Shinjuku,58.9,1.5,3.9,2.6,33,-,0.1,-,-
渋谷,Shibuya,63.8,1.5,0.4,2.9,30.9,-,0.4,-,-
池袋,Ikebukuro,55.7,2.4,4.3,2.8,34.8,0,-,-,-
大崎,Osaki,59,2.1,1.2,0.6,33.9,-,3.2,-,0
上野・浅草,Ueno/Asakusa,60.4,1.9,2.4,0.5,34.8,-,0,-,-
錦糸町・亀戸,Kinshicho/Kameido,55.1,3.3,5.4,0.8,34.1,-,1.3,-,-
台場,Daiba,30,5.6,36.2,0.4,27.9,-,0,-,-
有明,Ariake,42.5,8.5,18.3,7.1,23.6,-,0.1,-,-
青海,Aomi,35.2,13.1,20.4,4,27.3,-,0,-,-
品川,Shinagawa,56,1.4,7.4,6.3,27.8,-,1,-,0
秋葉原,Akihabara,48.2,1,1.3,0.5,46.8,-,2.1,-,-
