地域,Area,グロスGross（棟/ha）,ネットNet（棟/ha）
大手町,Otemachi,1.1,1.8
丸の内,Marunouchi,1.2,2.1
有楽町,Yurakucho,4.3,8.7
日比谷・内幸町,Hibiya/Uchisaiwaicho,1.1,3.0
霞が関,Kasumigaseki,1.1,1.6
永田町,Nagatacho,1.7,2.5
日本橋,Nihombashi,11.1,20.6
八重洲,Yaesu,8.8,19.5
京橋,Kyobashi,13.6,24.2
銀座,Ginza,21.1,38.2
新橋,Shimbashi,19.6,36.3
六本木・虎ノ門,Roppongi/Toranomon,13.7,20.0
新宿,Shinjuku,11.7,19.9
渋谷,Shibuya,17,26.6
池袋,Ikebukuro,21.5,38.5
大崎,Osaki,10.5,17.8
上野・浅草,Ueno/Asakusa,36.7,60.7
錦糸町・亀戸,Kinshicho/Kameido,24.3,44.1
台場,Daiba,0.5,1.8
有明,Ariake,0.6,1.4
青海,Aomi,0.6,1.6
品川,Shinagawa,3.5,6.3
秋葉原,Akihabara,18.7,38.7
