地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
山手線内側,InsideJRYamanoteLine,27.9,30.0,40.6,1.6,-
環状６号線内側,InsideRingRoadNo.6,20.9,26.9,42.9,9.3,-
環状７号線内側,InsideRingRoadNo.7,17.9,20.7,52.6,8.8,0
