地域,Area,平成28年(2016)構成比(%),令和3年(2021)構成比(%)
山手線内側,InsideJRYamanoteLine,95.1,96.0
環状６号線内側,InsideRingRoadNo.6,93.5,94.6
環状７号線内側,InsideRingRoadNo.7,88.6,90.3
