区分,ネット平成28年(Net2016)構成比(%),ネット令和3年(Net2021)構成比(%)
BP-1／官公庁施設,29.6,29.2
BP-2／教育文化施設,32.7,32.9
BP-3／厚生医療施設,50.1,50.4
BP-4／供給処理施設,32.9,30.9
BC-1／事務所建築物,61.1,60.7
BC-2／専用商業施設,56.7,58.9
BC-3／住商併用施設,65.8,65.6
BC-4／宿泊・遊興施設,59.9,58.2
BC-5／スポーツ・興行施設,39.7,38.5
BR-1／独立住宅,53.4,53.7
BR-2／集合住宅,52.9,53.2
BI-1／専用工場,52.9,51.7
BI-2／住居併用工場,66.6,66.2
BI-3／倉庫運輸関係施設,46.8,46.1
BA／農林漁業施設,32.1,35.2
