地域,Area,グロス令和3年(Gross2021)構成比(%),ネット令和3年(Net2021)構成比(%)
大手町,Otemachi,33.5,55.2
丸の内,Marunouchi,40.1,70.4
有楽町,Yurakucho,39.8,79.5
日比谷・内幸町,Hibiya/Uchisaiwaicho,19.8,55.4
霞が関,Kasumigaseki,23.7,35.2
永田町,Nagatacho,22.3,32.9
日本橋,Nihombashi,42.5,78.8
八重洲,Yaesu,32.9,72.4
京橋,Kyobashi,44.4,78.9
銀座,Ginza,44,79.8
新橋,Shimbashi,39.1,72.4
六本木・虎ノ門,Roppongi/Toranomon,35.9,52.1
新宿,Shinjuku,35.1,59.7
渋谷,Shibuya,41.1,64.4
池袋,Ikebukuro,39.1,70.3
大崎,Osaki,34,57.6
上野・浅草,Ueno/Asakusa,42,69.5
錦糸町・亀戸,Kinshicho/Kameido,34.4,62.5
台場,Daiba,15.8,52.9
有明,Ariake,22.9,53.8
青海,Aomi,18.2,51.6
品川,Shinagawa,24.8,44.2
秋葉原,Akihabara,37,76.7
