地域,Area,合計（ha）,L-1／宅地（ha）,L-2／その他（ha）,L-2／（屋外利用地）／内数（ha）,L-3／公園等（ha）,L-4／未利用地等（ha）,L-5／道路等（ha）,L-5／（道路）／内数（ha）,L-6／農用地（ha）,L-7／水面・河川・水路（ha）,L-8／森林（ha）,L-9／原野（ha）
区部（R3）,Special-WardArea(2021),62876.2,37062.4,2495.8,2447.4,4135.7,1302.5,13941.9,12014.79689,484.4,2931.3,32.2,489.7
区部（H28）,Special-WardArea(2016),62872.5,36726.2,2665.6,2617.2,4060.0,1497.8,13834.2,11871.4,556.9,3008.9,32.4,490.5
千代田区,Chiyoda-ku,1136.2,662.4,10.6,10.6,78.0,11.8,309.7,278.4,0.0,63.7,0.0,0.0
中央区,Chuo-ku,1045.4,454.4,16.6,16.6,62.5,42.3,305.1,304.3,0.0,164.6,0.0,0.0
港区,Minato-ku,2098.5,1293.9,47.5,47.5,157.0,34.3,500.5,448.0,0.0,65.1,0.1,0.0
新宿区,Shinjuku-ku,1828.5,1252.9,35.4,35.3,113.7,21.6,392.4,370.1,0.1,11.8,0.4,0.2
文京区,Bunkyo-ku,1138.3,794.7,19.1,19.0,82.9,12.8,223.9,219.7,0.0,5.0,0.0,0.0
台東区,Taito-ku,1007.8,579.3,19.3,19.3,80.3,7.0,281.9,267.2,0.0,40.0,0.0,0.0
墨田区,Sumida-ku,1371.1,765.5,46.4,46.4,91.9,15.1,347.3,320.7,0.0,99.2,0.0,5.7
江東区,Koto-ku,4482.5,2128.2,251.1,251.1,503.7,179.3,886.9,789.2,1.0,532.2,0.0,0.0
品川区,Shinagawa-ku,2344.0,1357.6,151.3,151.3,140.8,42.2,559.9,432.3,0.0,87.7,0.0,4.5
目黒区,Meguro-ku,1475.9,1083.8,32.5,32.3,47.5,25.5,275.9,265.4,1.7,8.7,0.0,0.4
大田区,Ota-ku,6315.6,3196.6,215.0,214.9,293.3,128.8,2056.2,958.2,3.2,358.4,1.7,62.6
世田谷区,Setagaya-ku,5808.0,3968.0,183.1,181.6,325.9,85.0,1045.0,1006.1,94.0,49.6,18.4,38.9
渋谷区,Shibuya-ku,1511.5,1038.5,25.5,25.5,93.3,34.5,316.8,291.5,0.0,2.8,0.0,0.0
中野区,Nakano-ku,1557.5,1118.4,44.5,44.4,58.7,26.4,295.5,276.9,2.4,11.6,0.0,0.0
杉並区,Suginami-ku,3390.0,2413.2,96.1,95.0,161.8,37.7,611.2,589.4,40.3,26.3,3.3,0.0
豊島区,Toshima-ku,1298.4,887.0,35.4,35.4,53.0,23.8,297.4,266.3,0.2,1.6,0.0,0.0
北区,Kita-ku,2056.6,1170.8,67.7,55.8,171.1,47.2,458.0,370.4,0.6,116.5,3.3,21.4
荒川区,Arakawa-ku,1024.2,610.1,43.7,43.7,60.2,18.7,241.2,189.2,0.0,50.1,0.0,0.0
板橋区,Itabashi-ku,3213.9,2007.8,140.3,140.3,231.4,45.1,663.6,639.1,19.2,82.1,0.5,23.8
練馬区,Nerima-ku,4818.5,3087.7,237.0,207.9,261.3,84.1,920.6,900.0,195.7,28.0,3.7,0.4
足立区,Adachi-ku,5320.1,2950.8,307.3,305.7,391.7,99.8,1121.9,1071.3,46.2,296.8,0.7,104.9
葛飾区,Katsushika-ku,3480.8,1844.1,167.9,166.1,277.6,42.5,716.8,670.5,32.9,306.1,0.0,92.9
江戸川区,Edogawa-ku,4865.0,2394.2,295.9,295.2,398.2,62.5,1011.0,988.3,46.8,522.4,0.2,133.9
中央防波堤,CentralBreakwater,287.7,2.7,6.5,6.5,0.0,174.4,103.1,102.3,0.0,1.0,0.0,0.0
