地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
山手線内側,InsideJRYamanoteLine,92,3.2,4.4,0.4
環状６号線内側,InsideRingRoadNo.6,88.1,5.4,6.1,0.5
環状７号線内側,InsideRingRoadNo.7,80.8,7.8,10.6,0.8
