地域,Area,グロス平成28年(Gross　2016)構成比(%),グロス令和3年(Gross　2021)構成比(%)
山手線内側,InsideJRYamanoteLine,211.3,225.4
環状６号線内側,InsideRingRoadNo.6,173.9,184.2
環状７号線内側,InsideRingRoadNo.7,142.6,149.8
