地域,Area,平成28年(2016)構成比(%),令和3年(2021)構成比(%)
山手線内側,InsideJRYamanoteLine,84.2,86.3
環状６号線内側,InsideRingRoadNo.6,81.3,83.8
環状７号線内側,InsideRingRoadNo.7,73.5,76.5
