地域,Area,ネット平成28年 (Net　2016)構成比(%),ネット令和3年(Net　2021)構成比(%)
山手線内側,InsideJRYamanoteLine,320.2,338.6
環状６号線内側,InsideRingRoadNo.6,294.3,308.9
環状７号線内側,InsideRingRoadNo.7,240.6,250.9
