地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
山手線内側,InsideJRYamanoteLine,3.4,8.3,2.5,0.1,33.9,3.9,5.1,5.1,0.9,5.8,30.1,0.2,0.3,0.4,-
環状６号線内側,InsideRingRoadNo.6,2.2,5.8,1.9,0.9,27.2,4.4,5.7,3.9,0.7,7.1,35.5,0.7,0.9,3,-
環状７号線内側,InsideRingRoadNo.7,1.9,5.7,2,0.8,20.7,3.8,5.9,2.9,0.7,12,38.3,1,1,3.2,0
