地域,Area,グロス平成28年(Gross2016)構成比(%),グロス令和3年(Gross2021)構成比(%)
大手町,Otemachi,691.4,786.6
丸の内,Marunouchi,620.5,674.9
有楽町,Yurakucho,461.9,496.3
日比谷・内幸町,Hibiya/Uchisaiwaicho,271.1,270.0
霞が関,Kasumigaseki,407.2,319.3
永田町,Nagatacho,212.9,214.3
日本橋,Nihombashi,582.8,576.6
八重洲,Yaesu,438.1,504.2
京橋,Kyobashi,558.8,642.8
銀座,Ginza,421.9,445.8
新橋,Shimbashi,362.0,399.1
六本木・虎ノ門,Roppongi/Toranomon,288.5,371.4
新宿,Shinjuku,417.1,443.6
渋谷,Shibuya,324.1,357.1
池袋,Ikebukuro,351.2,359.9
大崎,Osaki,374.3,388.6
上野・浅草,Ueno/Asakusa,211.6,227.0
錦糸町・亀戸,Kinshicho/Kameido,206.1,218.3
台場,Daiba,160.4,160.5
有明,Ariake,108.3,141.5
青海,Aomi,99.1,102.7
品川,Shinagawa,274.6,280.2
秋葉原,Akihabara,359.9,379.0
