区分,公共施設,公共施設／構成比(%),商業施設,商業施設／構成比(%),住宅,住宅／構成比(%),工業施設,工業施設／構成比(%),農業施設,農業施設／構成比(%),合計,合計／構成比(%)
H28(2016),39963,2.4,245156,14.6,1315967,78.2,80497,4.8,212,0,1681795,100
R3(2021),40849,2.4,231556,13.7,1351413,79.7,71483,4.2,213,0,1695514,100
