地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
大手町,Otemachi,100,0,0,0
丸の内,Marunouchi,99.8,0.2,0,0
有楽町,Yurakucho,99.4,0.3,0.1,0.1
日比谷・内幸町,Hibiya/Uchisaiwaicho,99.4,0.4,0.2,0
霞が関,Kasumigaseki,99.4,0.6,0,0
永田町,Nagatacho,95.5,3.4,1.1,0
日本橋,Nihombashi,98.8,0.4,0.8,0
八重洲,Yaesu,97.8,0.5,1.7,0
京橋,Kyobashi,98.6,0.6,0.8,0
銀座,Ginza,97.4,1.2,1.4,0.1
新橋,Shimbashi,95.7,1.7,2.4,0.1
六本木・虎ノ門,Roppongi/Toranomon,92.3,2.8,3.7,1.3
新宿,Shinjuku,94.5,2.8,2.6,0.1
渋谷,Shibuya,94.9,2.2,2.9,0.1
池袋,Ikebukuro,88.2,5,6.6,0.2
大崎,Osaki,95.1,2.2,2.6,0.1
上野・浅草,Ueno/Asakusa,79.5,6,12.5,2
錦糸町・亀戸,Kinshicho/Kameido,76.9,10.3,12.2,0.6
台場,Daiba,99.8,0.2,0,0
有明,Ariake,97.1,2.8,0,0
青海,Aomi,96.1,3.9,0,0
品川,Shinagawa,93.4,4.2,2.2,0.3
秋葉原,Akihabara,96.7,0.6,2.5,0.2
