地域,Area,平成28年(2016)（階）,令和3年(2021)（階）
千代田区,Chiyoda-ku,5.7,6
中央区,Chuo-ku,5.2,5.6
港区,Minato-ku,4.2,4.5
新宿区,Shinjuku-ku,3.2,3.3
文京区,Bunkyo-ku,3,3.1
台東区,Taito-ku,3.4,3.6
墨田区,Sumida-ku,2.9,3
江東区,Koto-ku,3,3.1
品川区,Shinagawa-ku,2.7,2.8
目黒区,Meguro-ku,2.5,2.6
大田区,Ota-ku,2.4,2.5
世田谷区,Setagaya-ku,2.3,2.4
渋谷区,Shibuya-ku,3.3,3.3
中野区,Nakano-ku,2.4,2.5
杉並区,Suginami-ku,2.2,2.3
豊島区,Toshima-ku,2.8,2.9
北区,Kita-ku,2.6,2.6
荒川区,Arakawa-ku,2.6,2.7
板橋区,Itabashi-ku,2.5,2.5
練馬区,Nerima-ku,2.2,2.2
足立区,Adachi-ku,2.3,2.3
葛飾区,Katsushika-ku,2.3,2.3
江戸川区,Edogawa-ku,2.4,2.5
