区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
H28(2016),48.2,17.4,31.1,3.3
R3(2021),49.4,18.9,29,2.7
