地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
千代田区,Chiyoda-ku,96.5,1.1,1.9,0.5
中央区,Chuo-ku,92.5,2.4,4.5,0.6
港区,Minato-ku,87.5,5.5,5.5,1.5
新宿区,Shinjuku-ku,70.6,11.4,17,0.9
文京区,Bunkyo-ku,64.1,14.9,19.4,1.6
台東区,Taito-ku,64.8,10.4,21.1,3.7
墨田区,Sumida-ku,53.9,23.3,20.9,1.9
江東区,Koto-ku,69.8,19,10.5,0.7
品川区,Shinagawa-ku,56.4,14.2,27.5,2
目黒区,Meguro-ku,51.3,24,22.9,1.9
大田区,Ota-ku,46.1,22,28.7,3.2
世田谷区,Setagaya-ku,39,19.7,38.6,2.6
渋谷区,Shibuya-ku,75.7,8.7,14.9,0.8
中野区,Nakano-ku,41.7,19.4,35.5,3.5
杉並区,Suginami-ku,30.8,18.3,47.2,3.7
豊島区,Toshima-ku,56.8,19.4,22.2,1.6
北区,Kita-ku,48.9,19.7,29.8,1.6
荒川区,Arakawa-ku,42.6,30.4,25.1,1.9
板橋区,Itabashi-ku,46.9,24.6,26.1,2.5
練馬区,Nerima-ku,34.9,11.9,47.7,5.6
足立区,Adachi-ku,39,27.3,30.8,3
葛飾区,Katsushika-ku,38.2,20.2,37.8,3.8
江戸川区,Edogawa-ku,33.9,30.5,32,3.5
