地域,Area,平成28年(2016)構成比(%),令和3年(2021)構成比(%)
山手線内側,InsideJRYamanoteLine,57.5,58.9
環状６号線内側,InsideRingRoadNo.6,50.9,52.9
環状７号線内側,InsideRingRoadNo.7,39.9,41.5
