地域,Area,平成28年(2016)（階）,令和３年(2021)（階）
山手線内側,InsideJRYamanoteLine,3.6,3.7
環状６号線内側,InsideRingRoadNo.6,3.3,3.4
環状７号線内側,InsideRingRoadNo.7,2.9,2.9
