地域,Area,グロスGross（棟/ha）,ネットNet（棟/ha）
千代田区,Chiyoda-ku,9.3,16
中央区,Chuo-ku,14.6,33.6
港区,Minato-ku,12.5,20.2
新宿区,Shinjuku-ku,27.2,39.7
文京区,Bunkyo-ku,31.1,44.5
台東区,Taito-ku,37.2,64.7
墨田区,Sumida-ku,33.6,60.1
江東区,Koto-ku,11.3,23.8
品川区,Shinagawa-ku,26,44.9
目黒区,Meguro-ku,34.8,47.3
大田区,Ota-ku,21.6,42.6
世田谷区,Setagaya-ku,29.9,43.7
渋谷区,Shibuya-ku,24.1,35.1
中野区,Nakano-ku,41.5,57.8
杉並区,Suginami-ku,36.5,51.3
豊島区,Toshima-ku,39.9,58.4
北区,Kita-ku,30.2,53.1
荒川区,Arakawa-ku,38.8,65.2
板橋区,Itabashi-ku,28.6,45.7
練馬区,Nerima-ku,31.4,49
足立区,Adachi-ku,26.9,48.5
葛飾区,Katsushika-ku,30.5,57.6
江戸川区,Edogawa-ku,27,54.8
