地域,Area,グロスGross（棟/ha）,ネットNet（棟/ha）
山手線内側,InsideJRYamanoteLine,21.9,33.1
環状６号線内側,InsideRingRoadNo.6,23.3,39.4
環状７号線内側,InsideRingRoadNo.7,26.7,45.1
