地域,Area,平成28年(2016)（m2）,令和3年年(2021)（m2）
山手線内側,InsideJRYamanoteLine,302,309.8
環状６号線内側,InsideRingRoadNo.6,253.6,260.2
環状７号線内側,InsideRingRoadNo.7,221.8,224.4
