地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
大手町,Otemachi,100,0,0,0
丸の内,Marunouchi,100,0,0,0
有楽町,Yurakucho,99.9,0.1,0,0
日比谷・内幸町,Hibiya/Uchisaiwaicho,99.9,0.1,0,0
霞が関,Kasumigaseki,99.9,0.1,0,0
永田町,Nagatacho,99.4,0.4,0.3,0
日本橋,Nihombashi,99.8,0.1,0.1,0
八重洲,Yaesu,99.7,0.1,0.2,0
京橋,Kyobashi,99.7,0.2,0.1,0
銀座,Ginza,99.4,0.3,0.3,0
新橋,Shimbashi,99,0.4,0.5,0
六本木・虎ノ門,Roppongi/Toranomon,98.4,0.7,0.7,0.2
新宿,Shinjuku,99.1,0.5,0.4,0
渋谷,Shibuya,98.7,0.6,0.7,0
池袋,Ikebukuro,97.4,1.1,1.5,0
大崎,Osaki,99.1,0.4,0.5,0
上野・浅草,Ueno/Asakusa,91.9,3,4.6,0.5
錦糸町・亀戸,Kinshicho/Kameido,91.7,4.2,3.8,0.2
台場,Daiba,100,0,0,0
有明,Ariake,99,1,0,0
青海,Aomi,98.8,1.2,0,0
品川,Shinagawa,99,0.6,0.4,0
秋葉原,Akihabara,99.6,0.1,0.2,0
