地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
山手線内側,InsideJRYamanoteLine,77.3,9,12.2,1.5
環状６号線内側,InsideRingRoadNo.6,70,13.8,14.8,1.4
環状７号線内側,InsideRingRoadNo.7,59.5,17,21.6,1.9
