地域,Area,グロスGross（棟/ha）,ネットNet（棟/ha）
山手線内側,InsideJRYamanoteLine,21.5,32.3
環状６号線内側,InsideRingRoadNo.6,22.9,38.4
環状７号線内側,InsideRingRoadNo.7,26.6,44.6
