"実数・増加率","年次コード","年次","西暦（年）","月","調査世帯数(世帯）","世帯人員（人）","有業人員（人）","世帯主平均年齢（歳）","生計支出（円）","生計支出／消費支出（円）","生計支出／消費支出／食料（円）","生計支出／消費支出／食料／穀類（円）","生計支出／消費支出／食料／魚介類（円）","生計支出／消費支出／食料／肉類（円）","生計支出／消費支出／食料／乳卵類（円）","生計支出／消費支出／食料／野菜・海藻（円）","生計支出／消費支出／食料／果物（円）","生計支出／消費支出／食料／油脂・調味料（円）","生計支出／消費支出／食料／菓子類（円）","生計支出／消費支出／食料／調理食品（円）","生計支出／消費支出／食料／飲料（円）","生計支出／消費支出／食料／酒類（円）","生計支出／消費支出／食料／外食（円）","生計支出／消費支出／住居（円）","生計支出／消費支出／住居／家賃地代（円）","生計支出／消費支出／住居／設備修繕・維持（円）","生計支出／消費支出／光熱・水道（円）","生計支出／消費支出／光熱・水道／電気代（円）","生計支出／消費支出／光熱・水道／ガス代（円）","生計支出／消費支出／光熱・水道／他の光熱（円）","生計支出／消費支出／光熱・水道／上下水道料（円）","生計支出／消費支出／家具・家事用品（円）","生計支出／消費支出／家具・家事用品／家庭用耐久財（円）","生計支出／消費支出／家具・家事用品／室内装備・装飾品（円）","生計支出／消費支出／家具・家事用品／寝具類（円）","生計支出／消費支出／家具・家事用品／家事雑貨（円）","生計支出／消費支出／家具・家事用品／家事用消耗品（円）","生計支出／消費支出／家具・家事用品／家事サービス（円）","生計支出／消費支出／被服及び履物（円）","生計支出／消費支出／被服及び履物／和服（円）","生計支出／消費支出／被服及び履物／洋服（円）","生計支出／消費支出／被服及び履物／シャツ・セーター類（円）","生計支出／消費支出／被服及び履物／下着類（円）","生計支出／消費支出／被服及び履物／生地・糸類（円）","生計支出／消費支出／被服及び履物／他の被服（円）","生計支出／消費支出／被服及び履物／履物類（円）","生計支出／消費支出／被服及び履物／被服関連サービス（円）","生計支出／消費支出／保健医療（円）","生計支出／消費支出／保健医療／医薬品（円）","生計支出／消費支出／保健医療／健康保持用摂取品（円）","生計支出／消費支出／保健医療／保健医療用品・器具（円）","生計支出／消費支出／保健医療／保健医療サービス（円）","生計支出／消費支出／交通・通信（円）","生計支出／消費支出／交通・通信／交通（円）","生計支出／消費支出／交通・通信／自動車等関係費（円）","生計支出／消費支出／交通・通信／通信（円）","生計支出／消費支出／教育（円）","生計支出／消費支出／教育／授業料等（円）","生計支出／消費支出／教育／教科書・学習参考教材（円）","生計支出／消費支出／教育／補習教育（円）","生計支出／消費支出／教養娯楽（円）","生計支出／消費支出／教養娯楽／教養娯楽用耐久財（円）","生計支出／消費支出／教養娯楽／教養娯楽用品（円）","生計支出／消費支出／教養娯楽／書籍・他の印刷物（円）","生計支出／消費支出／教養娯楽／教養娯楽サービス（円）","生計支出／消費支出／その他の消費支出（円）","生計支出／消費支出／その他の消費支出／諸雑費（円）","生計支出／消費支出／その他の消費支出／こづかい（円）","生計支出／消費支出／その他の消費支出／交際費（円）","生計支出／消費支出／その他の消費支出／仕送り金（円）","生計支出／土地家屋購入（円）","エンゲル係数（％）","選択的支出係数（％）","公共的料金負担率（％）","公共的料金負担率／公共料金等負担率（％）","公共的料金負担率／準公共料金等負担率（％）"
"Jissu","nen","実数_平成23年","2011","",760,3.01,1.30,57.0,328226,314480,77905,6671,6596,6560,3562,9882,3071,3385,5462,9296,4321,3185,15914,23660,16825,6835,21230,9272,6246,397,5315,10721,3538,800,797,2357,2434,795,13954,174,5693,2721,1168,184,1116,1796,1103,15528,2466,1220,2298,9545,33516,8240,13664,11613,19827,14782,274,4771,36664,3160,6540,4673,22291,61475,23613,12028,23676,2158,13746,24.8,48.1,28.5,18.0,10.5
"Jissu","nen","実数_平成24年","2012","",754,2.97,1.29,57.2,328955,321982,78922,6625,6490,6418,3693,9778,3093,3336,5327,9733,4393,3454,16582,25580,16035,9545,23122,10282,7105,458,5277,11094,3364,1176,841,2478,2467,768,14776,167,5925,2954,1228,158,1184,1916,1246,15568,2569,1367,2443,9189,35244,9179,14493,11572,19271,14378,279,4613,36575,2658,6691,4403,22823,61832,25251,12132,22651,1797,6973,24.5,48.8,28.0,18.3,9.7
"Jissu","nen","実数_平成25年","2013","",753,3.02,1.30,57.3,345213,333423,80264,6657,6350,6754,3715,9844,3110,3358,5638,9618,4603,3383,17235,29540,18347,11193,23605,11175,6811,387,5231,11264,3703,800,1079,2328,2564,790,15276,170,6178,3034,1242,180,1173,2080,1218,15676,2595,1287,2569,9224,37703,9381,16414,11908,17517,13338,255,3924,38107,2473,6780,4440,24415,64471,27018,10793,23395,3265,11790,24.1,48.2,27.9,18.0,9.9
"Jissu","nen","実数_平成26年","2014","",745,2.98,1.29,58.8,327418,324036,81162,6522,6586,7277,3947,10160,3289,3517,5697,10009,4422,3482,16255,25459,15364,10095,23893,11249,7084,458,5103,11920,4073,815,971,2429,2686,947,15231,302,6062,2988,1178,142,1234,2158,1167,15326,2725,1316,2365,8920,36670,8701,16147,11822,15303,11220,224,3859,38299,2360,7318,4401,24221,60775,26111,10374,22006,2283,3381,25.0,47.2,26.8,17.9,8.9
"Jissu","nen","実数_平成27年","2015","",743,2.96,1.29,59.0,331379,326795,83742,6498,6798,7455,4207,10704,3517,3553,5828,10255,4396,3456,17076,25136,16546,8590,23312,10848,7002,281,5181,11154,3618,890,814,2330,2630,872,15219,233,6567,2924,1144,143,1137,2022,1048,15250,2614,1293,2247,9095,35376,8766,14044,12566,18994,14780,253,3961,37562,2053,6808,4301,24400,61052,25656,9613,22076,3706,4584,25.6,45.4,28.1,18.1,10.0
"Jissu","nen","実数_平成28年","2016","",735,2.99,1.31,59.1,321733,320605,84611,6435,6777,7514,4298,10501,3488,3579,5801,11152,4610,3322,17135,24703,15636,9067,20563,9459,5740,234,5131,11219,3621,938,822,2231,2791,816,14495,187,6020,2822,1184,118,1018,1981,1166,15045,2569,1301,2464,8710,33439,8805,12021,12612,19946,15129,197,4620,36360,1989,6896,4042,23434,60225,26043,10200,20390,3592,1128,26.4,45.8,27.6,17.4,10.1
"Jissu","nen","実数_平成29年","2017","",728,2.94,1.28,60.2,330949,327903,85446,6465,6535,7806,4286,10438,3448,3694,5867,11373,4610,3590,17335,23960,14454,9506,21024,9585,5849,319,5271,12153,4099,1084,880,2408,2820,862,14135,130,5993,2747,1105,160,1025,1909,1066,15518,2647,1495,2464,8913,36746,8814,15192,12741,19626,15285,227,4113,37292,2452,7268,3978,23595,62002,25956,9951,22802,3294,3046,26.1,46.1,26.9,17.0,9.9
"Jissu","nen","実数_平成30年","2018","",717,2.92,1.34,59.7,323328,322314,86107,6645,6299,7805,4127,10552,3437,3638,6123,11652,4895,3221,17714,23945,14782,9163,21383,10121,5765,308,5190,10722,3431,576,784,2304,2804,823,13654,120,5923,2544,1111,126,971,1847,1012,16097,2621,1300,2492,9684,35656,9201,13620,12835,20417,15467,186,4763,36071,2214,6958,3810,23089,58264,25614,9108,21541,2001,1013,26.7,45.6,27.6,18.2,9.4
"Jissu","nen","実数_平成31年・令和元年","2019","",703,2.92,1.31,60.8,330278,326563,87921,6769,6282,7693,4173,10027,3469,3637,6500,12166,4973,3575,18658,23613,13606,10008,21274,10138,5887,335,4914,12296,4141,798,980,2499,3010,869,14047,198,5992,2707,1065,174,1032,1835,1044,16717,2939,1315,2745,9718,36545,9911,14168,12465,19284,14120,215,4949,37513,2568,7539,3930,23477,57353,25810,8531,20335,2677,3716,26.9,46.0,26.7,18.1,8.6
"Jissu","nen","実数_令和 2年","2020","",689,2.94,1.32,59.4,331138,319428,90238,7116,6797,9050,4805,11355,3815,4380,6937,12826,5402,4232,13522,27590,16273,11317,21508,10114,5847,266,5283,13578,4581,717,948,2809,3667,856,11365,283,4639,2043,1025,161,811,1439,966,17767,3016,1451,3346,9954,34165,5688,15056,13421,19167,14293,279,4594,31569,3508,7647,3918,16496,52480,24795,8014,16736,2934,11710,28.2,42.6,27.2,17.6,9.5
"Jissu","nen","実数_令和 3年","2021","",674,2.91,1.36,59.6,340536,322669,90453,6846,6841,8897,4600,10682,3772,4200,7237,13896,5643,4628,13211,26599,14505,12094,20196,9174,5444,265,5313,13735,4625,984,1063,2774,3439,851,11007,156,4488,2136,1060,121,791,1548,707,18384,2975,1305,3233,10872,34635,6062,15850,12724,19093,14281,282,4531,32384,3199,7776,3688,17722,56182,28199,7119,15951,4913,17868,28.0,43.6,26.2,16.8,9.3
"Jissu","nen","実数_令和 4年","2022","",637,2.90,1.32,59.6,329608,324667,88881,6719,6327,8337,4418,10261,3534,4054,7267,13550,5387,3843,15184,26865,16814,10051,23328,11444,6429,386,5069,12768,4275,803,993,2603,3429,664,11756,235,4834,2241,959,124,843,1664,857,17369,2937,1371,3097,9965,34883,7665,15224,11994,19540,13973,197,5371,35037,2649,7701,3504,21183,54240,29131,6543,16560,2005,4941,27.4,43.8,27.2,18.4,8.8
"Jissu","tuki","実数_令和 4年 1月","2022","1",648,2.87,1.30,59.7,313234,313234,81881,6175,6001,8321,4352,9721,3384,3976,6915,12375,4743,3535,12383,24399,15915,8483,22963,9993,7820,1192,3958,12044,4259,487,825,2638,2975,861,11651,14,5274,1735,776,121,1043,2194,494,14722,2433,1370,2956,7963,35279,5569,16129,13581,12998,8890,80,4028,30994,2341,6242,3605,18805,66302,33440,6839,23040,2983,-,26.1,40.8,25.1,17.3,7.8
"Jissu","tuki","実数_令和 4年 2月","2022","2",623,2.88,1.26,59.8,307959,285729,77933,6383,5982,7695,4231,9807,3537,3753,6833,11924,4406,3210,10173,30122,16323,13799,29181,12869,9061,1027,6223,8688,2891,355,400,1902,2758,383,7523,-,3144,1152,670,220,683,1225,428,12795,2488,1049,3015,6244,29909,3363,15241,11306,13248,8150,55,5042,27921,2072,6050,3648,16150,48410,26455,5984,13082,2889,22230,27.3,37.6,28.2,19.5,8.8
"Jissu","tuki","実数_令和 4年 3月","2022","3",628,2.94,1.31,59.1,336161,317354,86003,6924,6336,8008,4406,10296,3369,4012,7523,13216,5005,3734,13173,24102,15808,8294,28663,14461,9043,572,4587,10231,1832,366,1908,2202,3200,722,12156,66,5637,2262,722,135,712,1468,1155,18689,2972,1263,2836,11618,31101,6339,13128,11635,15100,9062,568,5470,32770,3122,7360,3508,18780,58539,35313,6099,16072,1055,18807,27.1,43.9,27.3,20.0,7.3
"Jissu","tuki","実数_令和 4年 4月","2022","4",645,2.90,1.28,59.1,353503,345729,81558,6589,5906,7620,4170,9945,3037,3739,6739,12232,4770,3839,12973,32840,15170,17670,27104,12767,8302,188,5847,9939,3268,394,637,2209,3066,364,11712,4,4742,2340,984,125,783,1661,1074,15479,2658,1048,3045,8728,44264,8945,23586,11732,36654,31108,490,5056,34379,2207,8246,3692,20235,51799,23769,5738,18033,4259,7774,23.6,47.3,31.1,17.9,13.2
"Jissu","tuki","実数_令和 4年 5月","2022","5",650,2.91,1.29,59.1,318111,318111,88747,6611,6082,7716,4334,10152,3157,3865,7131,13219,5562,4019,16899,32215,16363,15852,21837,10824,7208,51,3754,11661,3741,679,493,2910,3342,495,11365,18,4156,2743,939,110,826,1585,988,15877,2717,1038,2734,9389,35470,7207,16514,11749,23711,19243,127,4341,33549,2338,6773,3395,21043,43679,22699,4008,15102,1870,-,27.9,44.3,28.7,18.2,10.6
