"項目","階層","大分類","中分類","小分類","中間計","符号","項目名","都平均／実数（円）","都平均／対前年増加率（％）","第1階層／実数（円）","第2階層／実数（円）","第3階層／実数（円）","第4階層／実数（円）","第5階層／実数（円）","第6階層／実数（円）","第7階層／実数（円）"
"0","0","0","0","0","0","0","世帯数分布",10000,-,1429,1429,1429,1429,1429,1429,1429
"0","0","0","0","0","0","0","調査世帯数",340,-,48,48,49,49,49,49,47
"0","0","0","0","0","0","0","世帯人員",3.27,-,2.90,2.83,3.28,3.35,3.52,3.46,3.52
"0","0","0","0","0","0","0","有業人員",1.74,-,1.67,1.60,1.62,1.74,1.75,1.84,1.95
"0","0","0","0","0","0","0","世帯主平均年齢",49.7,-,56.3,52.3,47.9,47.7,47.3,47.9,48.6
"1","0","0","0","0","0","0","受取",1445626,-10.2,528815,880185,1152713,1272021,1480657,1882166,2913510
"1","1","0","0","0","0","0","実収入",684038,-6.3,127258,349336,452594,546535,672131,857875,1772623
"1","2","0","0","0","0","0","経常収入",669443,-5.9,121306,337944,442061,537338,646431,841279,1749652
"1","3","0","0","0","0","0","勤め先収入",634811,-5.7,64911,277604,408936,509842,627596,821925,1723705
"1","4","0","0","0","0","0","世帯主収入",523887,-4.7,58638,261478,370144,450654,535285,637771,1345971
"1","6","0","0","0","0","0","うち男",496403,-5.3,39048,212008,348804,428524,519095,615325,1304763
"1","5","0","0","0","0","0","定期収入",421077,-4.9,57900,258582,364086,438264,523895,595716,708011
"1","5","0","0","0","0","0","臨時収入",4075,-10.7,247,1679,3508,3851,3461,6821,8990
"1","5","0","0","0","0","0","賞与",98735,-3.5,490,1217,2550,8538,7929,35233,628970
"1","4","0","0","0","0","0","世帯主の配偶者の収入",98590,-11.9,5554,10775,27330,53949,85673,166611,338395
"1","6","0","0","0","0","0","うち女",95099,-11.9,5440,10658,26280,53749,83552,154694,329458
"1","4","0","0","0","0","0","他の世帯員収入",12334,4.3,719,5351,11462,5239,6638,17543,39339
"1","3","0","0","0","0","0","事業・内職収入",7580,10.0,5633,9515,5658,6031,9370,5916,10946
"1","4","0","0","0","0","0","家賃収入",3529,-4.1,744,3530,-,665,8152,4405,7138
"1","4","0","0","0","0","0","他の事業収入",2728,68.2,3963,3977,4119,4214,540,73,2276
"1","4","0","0","0","0","0","内職収入",1323,-16.9,926,2008,1539,1151,678,1438,1533
"1","3","0","0","0","0","0","他の経常収入",27052,-13.0,50762,50824,27467,21465,9464,13439,15002
"1","4","0","0","0","0","0","財産収入",1543,-26.6,90,835,2423,3511,1393,355,2213
"1","4","0","0","0","0","0","社会保障給付",24705,-13.8,50407,46906,24881,16410,7770,13062,12493
"1","5","0","0","0","0","0","公的年金給付",17438,-3.7,47241,39849,14943,6539,1839,6353,4679
"1","5","0","0","0","0","0","他の社会保障給付",7267,-31.1,3166,7056,9937,9871,5930,6708,7814
"1","4","0","0","0","0","0","仕送り金",804,122.1,264,3083,163,1544,302,22,296
"1","2","0","0","0","0","0","特別収入",14595,-23.5,5952,11393,10533,9197,25701,16596,22971
"1","3","0","0","0","0","0","受贈金",4591,-43.5,64,630,1555,1565,16762,7451,4237
"1","3","0","0","0","0","0","他の特別収入",10004,-8.6,5887,10763,8978,7632,8939,9145,18734
"1","1","0","0","0","0","0","実収入以外の受取(繰入金を除く)",509717,-7.4,282507,315334,413754,492538,582770,608478,872388
"1","2","0","0","0","0","0","預貯金引出",373790,-8.2,207322,238955,310672,363784,432470,441016,621160
"1","2","0","0","0","0","0","保険金",6437,-14.5,5242,8537,12416,2124,950,2092,14043
"1","3","0","0","0","0","0","個人・企業年金保険金",6199,2.4,5242,8537,12121,1991,674,1916,13284
"1","3","0","0","0","0","0","他の保険金",238,-83.9,-,-,295,133,276,177,759
"1","2","0","0","0","0","0","有価証券売却",1087,-32.4,-,-,-,469,365,-,6997
"1","2","0","0","0","0","0","土地家屋借入金",-,-100.0,-,-,-,-,-,-,-
"1","2","0","0","0","0","0","他の借入金",719,3.0,-,1026,59,295,1437,346,1873
"1","2","0","0","0","0","0","クレジット購入借入金",127276,-1.9,69573,66387,90434,125233,147134,164757,227739
"1","2","0","0","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-
"1","2","0","0","0","0","0","実収入以外の受取のその他",408,-22.7,370,428,174,633,414,266,576
"1","1","0","0","0","0","0","繰入金",251871,-23.4,119051,215515,286365,232947,225757,415814,268499
"2","0","0","0","0","0","0","支払",1445626,-10.2,528815,880185,1152713,1272021,1480657,1882166,2913510
"2","1","0","0","0","0","0","実支出",489039,-9.0,259374,298234,359089,449217,537630,589181,928581
"2","2","0","0","0","0","0","生計支出",355980,-8.9,245103,258480,297299,356317,402937,404226,527287
"2","3","0","0","0","0","0","消費支出",350149,-2.0,245103,258480,297299,326647,400585,400937,522599
"2","4","1","0","0","0","0","食料",95136,-2.2,76353,77959,84589,94203,93682,106857,132063
"2","5","1","1","0","0","0","穀類",6874,-2.4,5732,6050,6179,7006,7273,7482,8370
"2","6","1","1","1","0","0","米類",1543,-5.3,1273,1337,1392,1744,1768,1612,1674
"2","7","1","1","1","0","102","米",1543,-5.3,1273,1337,1392,1744,1768,1612,1674
"2","6","1","1","2","0","0","パン",3068,-1.2,2582,2815,2659,2940,3138,3418,3912
"2","7","1","1","2","0","120","食パン",943,-0.5,767,717,870,939,1010,1074,1225
"2","7","1","1","2","0","129","他のパン",2125,-1.5,1815,2098,1789,2001,2128,2344,2687
"2","6","1","1","3","0","0","麺類",1703,-2.3,1423,1448,1612,1752,1774,1890,2016
"2","7","1","1","3","0","130","生うどん・そば",278,3.7,260,232,266,280,264,292,353
"2","7","1","1","3","0","131","乾うどん・そば",137,-6.2,122,107,79,128,125,206,191
"2","7","1","1","3","0","134","パスタ",169,6.3,113,128,149,206,181,182,224
"2","7","1","1","3","0","133","中華麺",393,-8.2,341,360,438,380,392,404,435
"2","7","1","1","3","0","135","カップ麺",465,0.4,385,424,434,447,533,530,499
"2","7","1","1","3","0","132","即席麺",178,-6.8,131,126,164,212,192,188,229
"2","7","1","1","3","0","139","他の麺類",83,-5.7,71,71,81,99,86,88,86
"2","6","1","1","4","0","0","他の穀類",560,-1.2,454,451,516,570,594,562,767
"2","7","1","1","4","0","140","小麦粉",55,5.8,50,36,55,48,56,69,71
"2","7","1","1","4","0","150","もち",128,4.1,126,89,131,117,83,90,252
"2","7","1","1","4","0","160","他の穀類のその他",377,-3.8,278,325,330,405,455,403,444
"2","5","1","2","0","0","0","魚介類",5486,-10.2,5463,4921,4585,5261,5291,5743,7112
"2","6","1","2","1","0","0","生鮮魚介",3122,-14.6,3073,2802,2489,2982,3110,3363,4023
"2","7","1","2","1","170-189","0","鮮魚",2918,-13.6,2875,2562,2352,2796,2917,3139,3778
"2","7","1","2","1","170-189","170","まぐろ",507,-13.3,614,470,460,401,499,538,563
"2","7","1","2","1","170-189","172","あじ",77,1.3,78,64,55,96,71,69,108
"2","7","1","2","1","170-189","173","いわし",21,-22.2,17,22,11,17,28,16,35
"2","7","1","2","1","170-189","174","かつお",108,-20.6,106,80,86,94,125,141,129
"2","7","1","2","1","170-189","175","かれい",33,6.5,41,26,22,50,23,38,32
"2","7","1","2","1","170-189","176","さけ",439,-5.8,459,333,361,438,472,479,533
"2","7","1","2","1","170-189","177","さば",60,-4.8,48,51,57,64,58,75,69
"2","7","1","2","1","170-189","178","さんま",34,9.7,28,25,25,34,51,38,32
"2","7","1","2","1","170-189","180","たい",85,-11.5,79,63,56,117,62,93,128
"2","7","1","2","1","170-189","181","ぶり",222,-12.3,209,172,150,183,238,286,315
"2","7","1","2","1","170-189","182","いか",107,-10.1,128,109,79,95,98,132,107
"2","7","1","2","1","170-189","183","たこ",95,-20.2,92,75,96,81,89,110,119
"2","7","1","2","1","170-189","185","えび",203,-18.1,180,176,182,214,174,215,282
"2","7","1","2","1","170-189","186","かに",82,-14.6,47,37,66,81,58,43,233
"2","7","1","2","1","170-189","189","他の鮮魚",522,-14.4,490,507,428,506,535,536,645
"2","7","1","2","1","170-189","187","さしみ盛合わせ",324,-23.4,258,352,219,327,336,328,448
"2","7","1","2","1","190-194","0","貝類",204,-26.6,199,240,138,186,193,225,245
"2","7","1","2","1","190-194","190","あさり",32,-49.2,27,38,19,33,32,38,38
"2","7","1","2","1","190-194","192","しじみ",16,-30.4,17,25,9,12,15,16,15
"2","7","1","2","1","190-194","191","かき(貝)",67,-8.2,73,74,45,62,62,65,81
"2","7","1","2","1","190-194","194","ほたて貝",61,-28.2,57,76,41,46,56,70,84
"2","7","1","2","1","190-194","193","他の貝",29,-17.1,25,27,24,33,28,36,27
"2","6","1","2","2","0","0","塩干魚介",948,-3.3,911,843,811,987,945,898,1240
"2","7","1","2","2","0","195","塩さけ",131,5.6,140,113,104,161,140,115,143
"2","7","1","2","2","0","196","たらこ",160,-16.2,164,173,126,158,124,158,218
"2","7","1","2","2","0","197","しらす干し",153,-0.6,137,131,128,166,159,162,188
"2","7","1","2","2","0","198","干しあじ",50,22.0,57,35,49,54,42,47,68
"2","7","1","2","2","0","202","他の塩干魚介",454,-3.4,413,391,403,449,481,416,623
"2","6","1","2","3","0","0","魚肉練製品",536,-5.1,625,458,454,462,446,555,739
"2","7","1","2","3","0","203","揚げかまぼこ",123,-10.2,152,117,91,112,113,143,128
"2","7","1","2","3","0","204","ちくわ",102,-4.7,117,89,94,96,94,116,109
"2","7","1","2","3","0","205","かまぼこ",188,0.5,227,143,151,148,141,177,323
"2","7","1","2","3","0","209","他の魚肉練製品",124,-6.8,130,109,118,107,98,119,180
"2","6","1","2","4","0","0","他の魚介加工品",880,-3.2,853,819,831,829,789,926,1110
"2","7","1","2","4","0","210","かつお節・削り節",53,0.0,53,48,55,52,43,55,61
"2","7","1","2","4","0","213","魚介の漬物",228,-8.1,232,247,233,201,155,247,277
