"項目","階層","大分類","中分類","小分類","中間計","符号","項目名","都平均／実数（円）","都平均／対前年増加率（％）","65歳未満（円）","65歳以上（円）","(再掲）75歳以上（円）"
"0","0","0","0","0","0","0","世帯数分布",10000,-,926,9074,5546
"0","0","0","0","0","0","0","調査世帯数",211,-,18,193,115
"0","0","0","0","0","0","0","世帯人員",2.25,-,2.51,2.23,2.19
"0","0","0","0","0","0","0","有業人員",0.41,-,0.68,0.38,0.34
"0","0","0","0","0","0","0","世帯主平均年齢",75.3,-,58.3,77.0,81.3
"1","0","0","0","0","0","0","受取",710502,1.5,936237,686961,624860
"1","1","0","0","0","0","0","実収入",248209,5.5,250057,248355,225638
"1","2","0","0","0","0","0","経常収入",230354,0.7,231302,230602,215950
"1","3","0","0","0","0","0","勤め先収入",27815,-14.8,85030,22225,17989
"1","4","0","0","0","0","0","世帯主収入",-,-,-,-,-
"1","6","0","0","0","0","0","うち男",-,-,-,-,-
"1","5","0","0","0","0","0","定期収入",-,-,-,-,-
"1","5","0","0","0","0","0","臨時収入",-,-,-,-,-
"1","5","0","0","0","0","0","賞与",-,-,-,-,-
"1","4","0","0","0","0","0","世帯主の配偶者の収入",13357,45.2,57812,9002,3997
"1","6","0","0","0","0","0","うち女",12505,44.4,57812,8061,3997
"1","4","0","0","0","0","0","他の世帯員収入",14458,-38.3,27218,13223,13991
"1","3","0","0","0","0","0","事業・内職収入",8229,22.9,23836,6542,4349
"1","4","0","0","0","0","0","家賃収入",3036,-8.9,2663,3048,2187
"1","4","0","0","0","0","0","他の事業収入",1364,92.1,8390,581,677
"1","4","0","0","0","0","0","内職収入",3829,44.4,12783,2913,1485
"1","3","0","0","0","0","0","他の経常収入",194309,2.5,122436,201834,193613
"1","4","0","0","0","0","0","財産収入",8290,93.9,5296,8563,10800
"1","4","0","0","0","0","0","社会保障給付",185240,0.8,114632,192649,182411
"1","5","0","0","0","0","0","公的年金給付",179697,0.0,81218,189908,179787
"1","5","0","0","0","0","0","他の社会保障給付",5543,39.0,33414,2741,2624
"1","4","0","0","0","0","0","仕送り金",779,-46.9,2507,622,402
"1","2","0","0","0","0","0","特別収入",17855,178.4,18755,17754,9688
"1","3","0","0","0","0","0","受贈金",8505,...,1209,9236,832
"1","3","0","0","0","0","0","他の特別収入",9349,65.3,17546,8517,8856
"1","1","0","0","0","0","0","実収入以外の受取(繰入金を除く)",345463,-4.1,441275,335569,293152
"1","2","0","0","0","0","0","預貯金引出",255245,-1.0,315316,249031,223498
"1","2","0","0","0","0","0","保険金",32919,-18.0,46595,31280,28943
"1","3","0","0","0","0","0","個人・企業年金保険金",27714,-5.8,23914,28183,24706
"1","3","0","0","0","0","0","他の保険金",5205,-51.5,22681,3097,4237
"1","2","0","0","0","0","0","有価証券売却",130,10.2,-,142,-
"1","2","0","0","0","0","0","土地家屋借入金",-,-,-,-,-
"1","2","0","0","0","0","0","他の借入金",167,-87.5,2223,12,5
"1","2","0","0","0","0","0","クレジット購入借入金",56512,-6.1,77102,54563,40222
"1","2","0","0","0","0","0","土地家屋売却",-,-,-,-,-
"1","2","0","0","0","0","0","実収入以外の受取のその他",490,-9.1,40,541,484
"1","1","0","0","0","0","0","繰入金",116831,11.9,244906,103037,106070
