実数・増減率,年次・四半期・月次コード,年次・四半期・月次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の定期収入（円）,実収入／経常収入／勤め先収入／世帯主の臨時収入・賞与（円）,実収入／経常収入／勤め先収入／配偶者・他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,実収入以外の受取(繰入金を除く)（円）,繰入金（円）,可処分所得（円）,貯蓄純増（円）,平均消費性向（％）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,実支出以外の支払(繰越金を除く)（円）,繰越金（円）
meimoku,tuki,対前年（同期・同月）名目増加率_令和 3年 6月,-,-,-,-,5.3,15,17.2,15.2,11.3,37.4,125.3,-18.1,-90.2,-1.1,105.5,2.3,2.6,-,6.9,0.4,-6.5,3.3,-41.6,-11.1,-43.5,-14,-6.9,-17.4,17.5,6.9,9.5,...,16,1.5,115.2
meimoku,tuki,対前年（同期・同月）名目増加率_令和 3年 7月,-,-,-,-,3.1,15.3,15.8,15.5,7.8,29.4,7.7,-29.8,-95,0.9,110,-0.7,1,-,11.4,7.5,5.1,4,1,-13.6,0.8,-14.3,-6.5,45.4,-10.4,20.3,-0.6,...,19.9,-4.4,140.5
meimoku,tuki,対前年（同期・同月）名目増加率_令和 3年 8月,-,-,-,-,9.6,5.4,7.4,9.3,46,-2.8,-26.8,-12.4,211.2,-3.3,161.7,8.6,37.3,-,7.1,4.7,-2.5,-5.1,-7.6,-11.5,-8.9,-33.3,3.4,31.4,34.5,-11.2,-10.9,...,14.3,0.3,193.8
meimoku,tuki,対前年（同期・同月）名目増加率_令和 3年 9月,-,-,-,-,0.9,1.9,1.6,3.6,25.4,-8.4,12.6,15.1,-54.2,29.7,124.8,-0.1,-262.5,-,47.5,61.1,-4.8,-3.5,3.5,-3.3,-9.3,-14.3,-1.2,2.5,-27.2,3.8,-2.4,...,5.2,-6.4,127.2
meimoku,tuki,対前年（同期・同月）名目増加率_令和 3年10月,-,-,-,-,-4.6,-5,-6.2,-1.9,34.5,-24.7,-47.7,15.8,18,-24.8,98.8,-3.6,-11.6,-,-12.9,-14,-8.5,-0.5,-32.2,-2,49.2,-15.1,-0.2,0.5,-15.9,-8.8,-19.1,-100,-9.2,-16.7,126.3
meimoku,tuki,対前年（同期・同月）名目増加率_令和 3年11月,-,-,-,-,-9,-11.7,-11.5,-7.6,-46.1,-22.1,-42.4,2.1,252,-26.2,50,-7.3,544.5,-,-23.4,-25.4,-4,-6.3,-6,-11.7,-18.5,-9.5,-12.4,5.5,-25.2,3.4,9.9,-91.3,-15.7,-11.6,52.2
meimoku,tuki,対前年（同期・同月）名目増加率_令和 3年12月,-,-,-,-,-4.9,-7.2,-8.6,-6.6,-4.2,-22.1,24.6,31.3,113.3,8.1,6.4,-2.1,1.3,-,2.4,14.7,7,-0.8,93.9,2.7,-18.9,6.4,15.8,13.8,-2.4,-7.3,-3.4,426.4,-16.4,-1.8,3.2
meimoku,tuki,対前年（同期・同月）名目増加率_令和 4年 1月,-,-,-,-,-8.6,-11,-11.2,-5.8,30.6,-34.1,28.5,-20.3,123.4,-3,-16,-7.7,-7.4,-,-10.9,-10.5,5.6,-6.8,15.3,-2.9,-18.6,29.4,-20.7,36.6,-3,-2.7,24.7,-100,-12.3,-5.2,-10.2
jissitu,nen,対前年（同期・同月）実質増加率_平成30年平均,-,-,-,-,7.7,8,6.9,-0.9,31.5,28.6,95.5,18.6,-16.5,-,-,6.3,-,-,-,-,-4.1,-1.2,-4.3,-2.2,-7.3,-4.2,-0.2,-8.5,4.1,-8.6,-,-,-,-,-
jissitu,nen,対前年（同期・同月）実質増加率_平成31年・令和元年平均,-,-,-,-,5.6,4.9,4.6,1.8,7.6,14.2,-2.9,11.6,85.6,-,-,6.2,-,-,-,-,1,1.8,-1.8,-1.6,9,-0.9,7.9,7.5,-4.6,2.7,-,-,-,-,-
jissitu,nen,対前年（同期・同月）実質増加率_令和 2年平均,-,-,-,-,4.2,2,2.4,0.2,-0.2,14.1,-10.6,-2.8,139.1,-,-,4.1,-,-,-,-,-4.8,1.9,9,1,12.8,-22.7,5.8,-15.6,-5.8,-14.7,-,-,-,-,-
jissitu,nen,対前年（同期・同月）実質増加率_令和 3年平均,-,-,-,-,4.4,5.6,5.6,5.3,5.2,6.8,2.9,6,-25.8,-,-,4.2,-,-,-,-,4.3,0.9,-2.3,-4.9,-0.5,-1.6,2,17.7,2.1,3.9,-,-,-,-,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 2年10～12月,-,-,-,-,8.5,8,8.6,2.5,2.9,40.3,-13,2.2,54,-,-,7.5,-,-,-,-,9.7,6.7,12.9,5.7,20.9,-10.6,7.7,3.8,29.3,4.1,-,-,-,-,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 3年 1～ 3月,-,-,-,-,7.3,7.7,7.8,3.4,5.1,30.5,-21.4,14.3,-11.2,-,-,6.8,-,-,-,-,6.6,2.1,8,9.2,15,-5.8,4.6,8.1,17.1,2.1,-,-,-,-,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 3年 4～ 6月,-,-,-,-,14.5,18,18.5,15.3,16.9,33.3,134.6,-1.3,-45.2,-,-,13.7,-,-,-,-,15.1,7.5,-27.3,-8.1,-1.7,35.4,4.8,11.2,23.4,30.7,-,-,-,-,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 3年 7～ 9月,-,-,-,-,4.8,8.5,9.3,9.7,10.9,6.8,-2.4,-10.6,-57.6,-,-,2.6,-,-,-,-,-0.5,-1.4,-3.1,-9.6,-8.7,-20.5,-1.5,35.4,-13.2,-0.7,-,-,-,-,-
jissitu,sihan,対前年（同期・同月）実質増加率_令和 3年10～12月,-,-,-,-,-6.4,-8.3,-9.2,-6,-5.1,-23.3,-28.9,19.1,110.5,-,-,-4.3,-,-,-,-,-2.4,-3.7,12.3,-11.5,-4.5,-5.7,0.8,18,-15.9,-8.9,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 1月,-,-,-,-,3.5,4.8,4.6,2.1,-66.4,35.3,-22.7,52,-38.4,-,-,3,-,-,-,-,-3.6,3.1,17.1,11,20.8,-22.3,19.9,-29.3,-19,-0.4,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 2月,-,-,-,-,11.7,11.2,12.9,7.1,28.5,41,-52.1,7.4,76.3,-,-,11.1,-,-,-,-,1.1,-0.8,25,6.2,-15.9,3.1,-21.9,-4.2,27.3,-17,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 3月,-,-,-,-,6.9,7.2,6.5,1.5,38.9,16.8,42.8,28.5,-7.1,-,-,6.4,-,-,-,-,22.9,3.8,-13.4,10.8,40.8,7.3,22.1,66.9,45.7,25.9,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 4月,-,-,-,-,14.1,11.4,11.5,11.5,-39,32.2,96.8,1.4,233.5,-,-,15.3,-,-,-,-,26.3,9.7,-22.4,-5.9,69.9,180.1,10.3,3,26.6,52.5,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 5月,-,-,-,-,31.6,29.2,26.5,18.3,793.4,25.8,197.8,143.6,105.4,-,-,33.8,-,-,-,-,25.7,9,-14.2,-9.2,9.6,41,11.5,37,27.3,37.3,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 6月,-,-,-,-,5.9,15.7,17.9,15.9,12,38.2,126.7,-17.6,-90.1,-,-,2.9,-,-,-,-,-5.9,3.7,-42.3,-9.1,-45,-14.3,-6.4,-10.7,13.1,6.5,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 7月,-,-,-,-,3.6,15.9,16.4,16.1,8.3,30.1,8.2,-29.4,-95,-,-,-0.2,-,-,-,-,5.6,4.7,-0.2,-12.6,-2.6,-14.9,-5.9,57.5,-11.8,17.5,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 8月,-,-,-,-,10.2,5.9,7.9,9.8,46.7,-2.3,-26.4,-12,212.8,-,-,9.1,-,-,-,-,-2,-3.9,-9,-10.8,-12.7,-33.9,3.6,44.4,31.7,-15.1,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年 9月,-,-,-,-,0.6,1.6,1.3,3.3,25,-8.7,12.3,14.8,-54.3,-,-,-0.4,-,-,-,-,-5.1,-4.4,1.9,-5.4,-12.2,-14.3,-1.1,12.1,-28.5,-0.3,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年10月,-,-,-,-,-4.7,-5.1,-6.3,-2,34.4,-24.8,-47.8,15.7,17.9,-,-,-3.7,-,-,-,-,-8.6,-0.8,-33.2,-7.2,47,-14.3,0.2,11.9,-17.1,-13.1,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年11月,-,-,-,-,-9.5,-12.1,-11.9,-8.1,-46.4,-22.5,-42.7,1.6,250.2,-,-,-7.8,-,-,-,-,-4.5,-7.5,-7.5,-19,-18.3,-9,-12,17.4,-26.2,-1.5,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 3年12月,-,-,-,-,-5.8,-8.1,-9.5,-7.5,-5.1,-22.9,23.4,30,111.2,-,-,-3.1,-,-,-,-,5.9,-2.8,90.7,-8.3,-19.1,6.1,16.4,27,-3.7,-11.5,-,-,-,-,-
jissitu,tuki,対前年（同期・同月）実質増加率_令和 4年 1月,-,-,-,-,-9.2,-11.6,-11.8,-6.5,29.7,-34.6,27.6,-20.9,121.8,-,-,-8.3,-,-,-,-,4.9,-8.8,14.2,-15.2,-19,28.2,-20.2,52.6,-4.3,-3.3,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 4年 1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主　　要　　指　　標　　　２　　―　勤労者世帯　―,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注1）平成30年1月に調査で使用する家計簿を改正し順次変更を行ったため、平成30年及び平成31年・令和元年の「対前年増加率」の値には当該改正の影響による変動が含まれ得る。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注2）平成30年12月までは農林漁家世帯を調査対象から除外していたが、平成31年1月からは含めている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou1,hyoutou2,hyoutou3,hyoutou3,hyoutou3,hyoutou2,hyoutou2,hyoutou1,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou0,hyoutou1,hyoutou2,hyoutou3,hyoutou3,hyoutou3,hyoutou3,hyoutou3,hyoutou3,hyoutou3,hyoutou3,hyoutou3,hyoutou3,hyoutou2,hyoutou1,hyoutou0,hyoutou0,,,
youto001,youto002,youto003,youto004,youto005,youto006,youto007,youto008,youto009,youto010,youto011,youto012,youto013,youto014,youto015,youto016,youto017,youto018,youto019,youto020,youto021,youto022,youto023,youto024,youto025,youto026,youto027,youto028,youto029,youto030,youto031,youto032,youto033,youto034,youto035,,,
