年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成27年平均,77,332.2,116.1,85.4,81.4,77.6,74.4,47.8
nen,平成28年平均,73.7,364,110.1,84.4,77.5,77.6,69.1,44.3
nen,平成29年平均,77.9,266.3,115.4,93.7,81.7,78.3,77.3,46.7
nen,平成30年平均,70.3,227.3,90.1,87.2,78.1,73.4,70.5,41.6
nen,平成31年・令和元年平均,66.8,189.6,102.8,77.5,74,74.5,67.4,36.5
nen,令和 2年平均,61.2,228.2,85.9,74.3,68.7,64.7,59.4,34.9
nen,令和 3年平均,61.2,169.7,83.2,74.1,70.3,68,62,36.3
tuki,令和 3年 3月,82.6,590.5,104.6,75.8,79,94,83.4,53.8
tuki,令和 3年 4月,76.6,163.4,85.8,77.2,77.8,71.7,87.9,54.6
tuki,令和 3年 5月,70.5,379.1,70.5,72.2,79.5,76.5,59.9,44.1
tuki,令和 3年 6月,35.3,92.4,63.5,58.2,46.8,37,25.7,20.9
tuki,令和 3年 7月,52.9,163,96.3,81.7,65.6,56.9,42.7,30.7
tuki,令和 3年 8月,61.2,103.9,65.4,76,48.9,69,64.7,46.6
tuki,令和 3年 9月,74.3,237.3,85.1,82.1,76.6,67,71.5,57.1
tuki,令和 3年10月,72.7,103.8,97.5,82.3,82.3,58.4,65,59.4
tuki,令和 3年11月,76.8,242,97.7,97.4,79.4,73.4,56.1,60.9
tuki,令和 3年12月,40.9,122.6,66.4,66.3,40.3,47.3,30.9,26.3
tuki,令和 4年 1月,81.7,494.7,104.4,69.6,82.7,65.5,82.4,61.5
tuki,令和 4年 2月,63.9,143,62.4,57.6,60.6,64.7,62.5,53.6
tuki,令和 4年 3月,71.7,329.7,90.9,67.6,73.8,65,73.1,55.8
,,,,,,,,,
東京都生計分析調査　令和 4年 3月,,,,,,,,,
主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,,,
平均消費性向　　　〔＝（消費支出÷可処分所得） ×１００〕,,,,,,,,,
