1,"東京都生計分析調査　令和 4年 9月","","","","","","","","",""
2,"","","主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―","","","","","","",""
3,"","","エンゲル係数　   　　〔＝（食料費÷消費支出） ×１００〕","","","","","","",""
4,"年次・月次コード","年次・月次","都平均","第1階層","第2階層","第3階層","第4階層","第5階層","第6階層","第7階層"
5,"nen","平成27年平均",24.4,30.1,26.5,25.8,24.7,23.8,22.5,21.6
6,"nen","平成28年平均",24.8,28.9,26.5,26.9,25.6,24.5,23.0,21.6
7,"nen","平成29年平均",24.2,29.2,24.8,26.8,24.4,23.1,21.8,22.2
8,"nen","平成30年平均",25.0,30.5,27.6,26.7,25.7,23.7,22.2,22.8
9,"nen","平成31年・令和元年平均",25.1,28.4,27.4,28.0,25.7,23.7,22.6,23.1
10,"nen","令和 2年平均",27.2,33.1,28.0,26.9,27.6,26.1,25.5,25.9
11,"nen","令和 3年平均",26.4,33.4,28.3,28.0,27.5,23.9,24.5,23.9
12,"tuki","令和 3年 9月",27.0,35.5,33.3,27.4,27.7,26.7,24.5,22.4
13,"tuki","令和 3年10月",26.3,32.8,24.5,25.1,26.4,29.3,26.0,24.0
14,"tuki","令和 3年11月",26.6,34.5,27.1,25.2,29.4,26.0,24.7,24.1
15,"tuki","令和 3年12月",26.5,36.3,31.1,30.7,31.5,17.6,26.2,23.3
16,"tuki","令和 4年 1月",24.4,23.9,28.1,29.1,24.5,27.0,18.7,24.2
17,"tuki","令和 4年 2月",27.0,27.7,30.8,30.0,29.8,24.6,23.0,26.9
18,"tuki","令和 4年 3月",24.9,33.7,31.9,28.4,26.3,24.3,16.7,24.4
19,"tuki","令和 4年 4月",22.0,23.3,28.5,27.9,19.4,24.6,17.4,20.0
20,"tuki","令和 4年 5月",27.8,32.0,30.3,27.0,32.6,30.8,24.3,23.9
21,"tuki","令和 4年 6月",29.0,32.9,33.1,29.5,29.7,27.6,25.8,28.2
22,"tuki","令和 4年 7月",27.3,28.5,32.5,29.9,30.9,21.5,25.9,26.6
23,"tuki","令和 4年 8月",25.7,33.6,23.6,24.3,25.9,26.1,26.2,24.0
24,"tuki","令和 4年 9月",25.8,32.6,29.4,25.3,27.6,25.9,24.0,21.6
7,"nen"-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,譁�ｺｬ蛹ｺ,2,F,34,繧ｬ繧ｹ讌ｭ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,譁�ｺｬ蛹ｺ,2,F,35,辭ｱ萓帷ｵｦ讌ｭ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,譁�ｺｬ蛹ｺ,2,F,36,豌ｴ驕捺･ｭ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,譁�ｺｬ蛹ｺ,1,G,00,諠��ｱ騾壻ｿ｡讌ｭ,599,796,19294,597635,528,528,7830,163646,71,268,11464,433989,13,13,27,123,13,13,27,123,-,-,-,-,576,773,19003,594336,505,505,7539,160347,71,268,11464,433989,10,10,264,3177,10,10,264,3177,-,-,-,-
4,13105,譁�ｺｬ蛹ｺ,2,G,37,騾壻ｿ｡讌ｭ,5,7,45,x,4,4,17,x,1,3,28,x,-,-,-,-,-,-,-,-,-,-,-,-,5,7,45,x,4,4,17,x,1,3,28,x,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,譁�ｺｬ蛹ｺ,2,G,38,謾ｾ騾∵･ｭ,2,5,226,x,1,1,1,x,1,4,225,x,-,-,-,-,-,-,-,-,-,-,-,-,2,5,226,x,1,1,1,x,1,4,225,x,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,譁�ｺｬ蛹ｺ,2,G,39,諠��ｱ繧ｵ繝ｼ繝薙せ讌ｭ,222,315,12089,268896,186,186,4035,51233,36,129,8054,217664,-,-,-,-,-,-,-,-,-,-,-,-,221,314,12005,x,185,185,3951,x,36,129,8054,217664,1,1,84,x,1,1,84,x,-,-,-,-
4,13105,譁�ｺｬ蛹ｺ,2,G,40,繧､繝ｳ繧ｿ繝ｼ繝阪ャ繝磯刋髫上し繝ｼ繝薙せ讌ｭ,27,30,376,4054,24,24,170,x,3,6,206,x,1,1,1,x,1,1,1,x,-,-,-,-,26,29,375,x,23,23,169,x,3,6,206,x,-,-,-,-,-,-,-,-,-,-,-,-
4,13105,譁�ｺｬ蛹ｺ,2,G,41,譏�蜒上�髻ｳ螢ｰ繝ｻ譁�ｭ玲ュ蝣ｱ蛻ｶ菴懈･ｭ,343,439,6558,314067,313,313,3607,110287,30,126,2951,203781,12,12,26,x,12,12,26,x,-,-,-,-,322,418,6352,312346,292,292,3401,108565,30,126,2951,203781,9,9,180,x,9,9,180,x,-,-,-,-
4,13105,譁�ｺｬ蛹ｺ,1,H,00,驕玖ｼｸ讌ｭ�碁Ψ萓ｿ讌ｭ,66,181,5090,80026,53,53,352,x,13,128,4738,x,22,22,29,96,22,22,29,96,-,-,-,-,44,159,5061,79930,31,31,323,x,13,128,4738,x,-,-,-,-,-,-,-,-,-,-,-,-
