"項目","階層","大分類","中分類","小分類","中間計","符号","項目名","頻度（回）","金額（円）","１回当たりの金額（円）"
"0","0","0","0","0","0","0","調査世帯数",637,-,-
"0","0","0","0","0","0","0","世帯人員",2.90,-,-
"0","0","0","0","0","0","0","有業人員",1.32,-,-
"0","0","0","0","0","0","0","世帯主平均年齢",59.6,-,-
"2","2","0","0","0","0","0","生計支出",-,-,-
"2","3","0","0","0","0","0","消費支出",-,-,-
"2","4","1","0","0","0","0","食料",-,-,-
"2","5","1","1","0","0","0","穀類",-,-,-
"2","6","1","1","1","0","0","米類",-,-,-
"2","7","1","1","1","0","102","米",542,1084498,2001
"2","6","1","1","2","0","0","パン",-,-,-
"2","7","1","1","2","0","120","食パン",3042,628734,207
"2","7","1","1","2","0","129","他のパン",5603,1275391,228
"2","6","1","1","3","0","0","麺類",-,-,-
"2","7","1","1","3","0","130","生うどん・そば",850,185100,218
"2","7","1","1","3","0","131","乾うどん・そば",211,111809,530
"2","7","1","1","3","0","134","パスタ",328,92223,281
"2","7","1","1","3","0","133","中華麺",1106,263880,239
"2","7","1","1","3","0","135","カップ麺",1210,251963,208
"2","7","1","1","3","0","132","即席麺",321,102485,319
"2","7","1","1","3","0","139","他の麺類",254,52068,205
"2","6","1","1","4","0","0","他の穀類",-,-,-
"2","7","1","1","4","0","140","小麦粉",129,34518,268
"2","7","1","1","4","0","150","もち",162,103600,640
"2","7","1","1","4","0","160","他の穀類のその他",573,208653,364
"2","5","1","2","0","0","0","魚介類",-,-,-
"2","6","1","2","1","0","0","生鮮魚介",-,-,-
"2","7","1","2","1","170-189","0","鮮魚",-,-,-
"2","7","1","2","1","170-189","170","まぐろ",547,365575,668
"2","7","1","2","1","170-189","172","あじ",137,58007,423
"2","7","1","2","1","170-189","173","いわし",56,19545,349
"2","7","1","2","1","170-189","174","かつお",189,81685,432
"2","7","1","2","1","170-189","175","かれい",72,37126,516
"2","7","1","2","1","170-189","176","さけ",562,300157,534
"2","7","1","2","1","170-189","177","さば",104,41220,396
"2","7","1","2","1","170-189","178","さんま",53,24041,454
"2","7","1","2","1","170-189","180","たい",92,62054,675
"2","7","1","2","1","170-189","181","ぶり",277,144208,521
"2","7","1","2","1","170-189","182","いか",234,88707,379
"2","7","1","2","1","170-189","183","たこ",125,60520,484
"2","7","1","2","1","170-189","185","えび",274,147185,537
"2","7","1","2","1","170-189","186","かに",16,65362,4085
"2","7","1","2","1","170-189","189","他の鮮魚",569,376042,661
"2","7","1","2","1","170-189","187","さしみ盛合わせ",266,256934,966
"2","7","1","2","1","190-194","0","貝類",-,-,-
"2","7","1","2","1","190-194","190","あさり",78,25379,325
"2","7","1","2","1","190-194","192","しじみ",54,20249,375
"2","7","1","2","1","190-194","191","かき(貝)",97,50499,521
"2","7","1","2","1","190-194","194","ほたて貝",117,61227,523
"2","7","1","2","1","190-194","193","他の貝",37,19858,537
"2","6","1","2","2","0","0","塩干魚介",-,-,-
"2","7","1","2","2","0","195","塩さけ",201,98124,488
"2","7","1","2","2","0","196","たらこ",258,115458,448
"2","7","1","2","2","0","197","しらす干し",366,109715,300
"2","7","1","2","2","0","198","干しあじ",119,50517,425
"2","7","1","2","2","0","202","他の塩干魚介",755,354405,469
"2","6","1","2","3","0","0","魚肉練製品",-,-,-
"2","7","1","2","3","0","203","揚げかまぼこ",496,117280,236
"2","7","1","2","3","0","204","ちくわ",581,83276,143
"2","7","1","2","3","0","205","かまぼこ",703,161662,230
"2","7","1","2","3","0","209","他の魚肉練製品",406,95122,234
"2","6","1","2","4","0","0","他の魚介加工品",-,-,-
"2","7","1","2","4","0","210","かつお節・削り節",145,42054,290
"2","7","1","2","4","0","213","魚介の漬物",346,205086,593
"2","7","1","2","4","0","215","魚介のつくだ煮",98,54605,557
"2","7","1","2","4","0","216","魚介の缶詰",422,161781,383
"2","7","1","2","4","0","217","他の魚介加工品のその他",525,214873,409
"2","5","1","3","0","0","0","肉類",-,-,-
"2","6","1","3","1","0","0","生鮮肉",-,-,-
"2","7","1","3","1","0","220","牛肉",1053,1167306,1109
"2","7","1","3","1","0","221","豚肉",3686,1938492,526
"2","7","1","3","1","0","222","鶏肉",2040,991306,486
"2","7","1","3","1","0","22X","合いびき肉",318,171438,539
"2","7","1","3","1","0","224","他の生鮮肉",250,141519,566
"2","6","1","3","2","0","0","加工肉",-,-,-
"2","7","1","3","2","0","225","ハム",864,307323,356
"2","7","1","3","2","0","226","ソーセージ",1074,405590,378
"2","7","1","3","2","0","227","ベーコン",531,169187,319
"2","7","1","3","2","0","229","他の加工肉",295,167667,568
"2","5","1","4","0","0","0","乳卵類",-,-,-
"2","6","1","4","1","0","230","牛乳",3042,868593,286
"2","6","1","4","2","0","0","乳製品",-,-,-
"2","7","1","4","2","0","231","粉ミルク",26,54344,2090
"2","7","1","4","2","0","232","ヨーグルト",3034,767826,253
"2","7","1","4","2","0","233","バター",216,87675,406
"2","7","1","4","2","0","234","チーズ",1435,474900,331
"2","7","1","4","2","0","235","他の乳製品",146,45124,309
"2","6","1","4","3","0","238","卵",2426,547756,226
"2","5","1","5","0","0","0","野菜・海藻",-,-,-
"2","6","1","5","1","0","0","生鮮野菜",-,-,-
"2","7","1","5","1","240-249","0","葉茎菜",-,-,-
"2","7","1","5","1","240-249","240","キャベツ",1188,158519,133
"2","7","1","5","1","240-249","241","ほうれんそう",723,124949,173
"2","7","1","5","1","240-249","242","はくさい",554,70174,127
"2","7","1","5","1","240-249","243","ねぎ",1307,215675,165
"2","7","1","5","1","240-249","244","レタス",1074,165759,154
