1,"東京都生計分析調査　令和 4年11月","","","","","","","","","","","","","","",""
2,"","","","","","","第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","持家／実数（円）","持家／構成比（％）","民営借家／実数（円）","民営借家／構成比（％）","公営借家／実数（円）","公営借家／構成比（％）","給与住宅／実数（円）","給与住宅／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,7472,-,1211,-,752,-,565,-
7,"0","0","0","0","0","調査世帯数",624,-,477,-,74,-,44,-,29,-
8,"0","0","0","0","0","世帯人員",2.95,-,2.96,-,2.80,-,2.61,-,3.67,-
9,"0","0","0","0","0","有業人員",1.37,-,1.35,-,1.51,-,1.03,-,1.71,-
10,"0","0","0","0","0","世帯主平均年齢",59.5,-,61.4,-,51.8,-,64.4,-,44.7,-
11,"2","2","0","0","0","生計支出",346572,-,345911,-,322286,-,267170,-,513027,-
12,"2","3","0","0","0","消費支出",346572,100.0,345911,100.0,322286,100.0,267170,100.0,513027,100.0
13,"2","4","1","0","0","食料",92053,26.6,95266,27.5,80066,24.8,71022,26.6,103251,20.1
14,"2","5","1","1","0","穀類",6813,2.0,6949,2.0,6074,1.9,6201,2.3,7414,1.4
15,"2","6","1","1","1","米類",1592,0.5,1683,0.5,1236,0.4,1278,0.5,1577,0.3
16,"2","6","1","1","2","パン",3053,0.9,3056,0.9,2891,0.9,3150,1.2,3231,0.6
17,"2","6","1","1","3","麺類",1613,0.5,1625,0.5,1533,0.5,1324,0.5,2011,0.4
18,"2","6","1","1","4","他の穀類",555,0.2,586,0.2,414,0.1,449,0.2,595,0.1
19,"2","5","1","2","0","魚介類",6149,1.8,6882,2.0,3827,1.2,4025,1.5,4266,0.8
20,"2","6","1","2","1","生鮮魚介",3370,1.0,3846,1.1,1911,0.6,1994,0.7,2044,0.4
21,"2","6","1","2","2","塩干魚介",1131,0.3,1220,0.4,734,0.2,874,0.3,1137,0.2
22,"2","6","1","2","3","魚肉練製品",690,0.2,744,0.2,537,0.2,637,0.2,381,0.1
23,"2","6","1","2","4","他の魚介加工品",958,0.3,1071,0.3,646,0.2,519,0.2,705,0.1
24,"2","5","1","3","0","肉類",8653,2.5,9097,2.6,7680,2.4,5883,2.2,8549,1.7
25,"2","6","1","3","1","生鮮肉",7060,2.0,7406,2.1,6303,2.0,4706,1.8,7243,1.4
26,"2","6","1","3","2","加工肉",1593,0.5,1691,0.5,1377,0.4,1177,0.4,1307,0.3
27,"2","5","1","4","0","乳卵類",4618,1.3,4827,1.4,3774,1.2,3507,1.3,5139,1.0
28,"2","6","1","4","1","牛乳",1404,0.4,1487,0.4,1050,0.3,968,0.4,1642,0.3
29,"2","6","1","4","2","乳製品",2328,0.7,2408,0.7,2006,0.6,1817,0.7,2630,0.5
30,"2","6","1","4","3","卵",886,0.3,932,0.3,719,0.2,723,0.3,867,0.2
31,"2","5","1","5","0","野菜・海藻",9763,2.8,10270,3.0,8069,2.5,8277,3.1,8659,1.7
32,"2","6","1","5","1","生鮮野菜",6700,1.9,7069,2.0,5429,1.7,5563,2.1,6053,1.2
33,"2","6","1","5","2","乾物・海藻",769,0.2,794,0.2,795,0.2,558,0.2,675,0.1
34,"2","6","1","5","3","大豆加工品",1100,0.3,1145,0.3,952,0.3,937,0.4,1042,0.2
35,"2","6","1","5","4","他の野菜・海藻加工品",1193,0.3,1262,0.4,893,0.3,1219,0.5,890,0.2
36,"2","5","1","6","0","果物",3276,0.9,3383,1.0,2554,0.8,4054,1.5,2380,0.5
37,"2","6","1","6","1","生鮮果物",2888,0.8,2984,0.9,2272,0.7,3584,1.3,2017,0.4
38,"2","6","1","6","2","果物加工品",388,0.1,399,0.1,282,0.1,470,0.2,362,0.1
39,"2","5","1","7","0","油脂・調味料",4200,1.2,4384,1.3,3486,1.1,3603,1.3,4093,0.8
40,"2","6","1","7","1","油脂",490,0.1,508,0.1,349,0.1,576,0.2,428,0.1
41,"2","6","1","7","2","調味料",3710,1.1,3876,1.1,3137,1.0,3027,1.1,3666,0.7
42,"2","5","1","8","0","菓子類",7458,2.2,7448,2.2,7333,2.3,5588,2.1,10350,2.0
43,"2","5","1","9","0","調理食品",13772,4.0,13776,4.0,14043,4.4,11621,4.3,16002,3.1
44,"2","6","1","9","1","主食的調理食品",6026,1.7,6078,1.8,5227,1.6,6134,2.3,6909,1.3
45,"2","6","1","9","2","他の調理食品",7746,2.2,7698,2.2,8815,2.7,5486,2.1,9092,1.8
46,"2","5","1","10","0","飲料",5733,1.7,5811,1.7,5168,1.6,4271,1.6,7858,1.5
47,"2","6","1","10","1","茶類",1505,0.4,1548,0.4,1416,0.4,1077,0.4,1694,0.3
48,"2","6","1","10","2","コーヒー・ココア",1244,0.4,1265,0.4,1329,0.4,1033,0.4,1075,0.2
49,"2","6","1","10","3","他の飲料",2984,0.9,2998,0.9,2423,0.8,2161,0.8,5089,1.0
50,"2","5","1","11","0","酒類",3614,1.0,4109,1.2,2411,0.7,1945,0.7,1870,0.4
51,"2","5","1","12","0","外食",18004,5.2,18330,5.3,15647,4.9,12047,4.5,26670,5.2
52,"2","6","1","12","1","一般外食",16950,4.9,17195,5.0,15057,4.7,11758,4.4,24690,4.8
53,"2","6","1","12","2","学校給食",1053,0.3,1135,0.3,590,0.2,288,0.1,1980,0.4
54,"2","4","2","0","0","住居",34602,10.0,23548,6.8,86499,26.8,53462,20.0,44421,8.7
55,"2","5","2","1","0","家賃地代",17433,5.0,644,0.2,86302,26.8,53121,19.9,44304,8.6
56,"2","5","2","2","0","設備修繕・維持",17169,5.0,22904,6.6,197,0.1,341,0.1,117,0.0
57,"2","6","2","2","1","設備材料",1705,0.5,2241,0.6,106,0.0,143,0.1,117,0.0
58,"2","6","2","2","2","工事その他のサービス",15464,4.5,20663,6.0,90,0.0,198,0.1,-,-
59,"2","4","3","0","0","光熱・水道",21395,6.2,22145,6.4,18614,5.8,17007,6.4,23270,4.5
60,"2","5","3","1","0","電気代",10736,3.1,11098,3.2,9267,2.9,8898,3.3,11540,2.2
61,"2","5","3","2","0","ガス代",5726,1.7,5869,1.7,5529,1.7,4403,1.6,6016,1.2
62,"2","5","3","3","0","他の光熱",342,0.1,412,0.1,141,0.0,204,0.1,23,0.0
63,"2","5","3","4","0","上下水道料",4591,1.3,4765,1.4,3677,1.1,3502,1.3,5692,1.1
64,"2","4","4","0","0","家具・家事用品",15288,4.4,16444,4.8,11666,3.6,12939,4.8,10896,2.1
65,"2","5","4","1","0","家庭用耐久財",6549,1.9,7674,2.2,2714,0.8,5846,2.2,843,0.2
66,"2","6","4","1","1","家事用耐久財",1937,0.6,2056,0.6,2305,0.7,1226,0.5,531,0.1
67,"2","6","4","1","2","冷暖房用器具",2353,0.7,3081,0.9,274,0.1,-,-,312,0.1
68,"2","6","4","1","3","一般家具",2259,0.7,2537,0.7,134,0.0,4620,1.7,-,-
69,"2","5","4","2","0","室内装備・装飾品",764,0.2,847,0.2,135,0.0,1201,0.4,441,0.1
70,"2","5","4","3","0","寝具類",851,0.2,783,0.2,1315,0.4,1356,0.5,91,0.0
71,"2","5","4","4","0","家事雑貨",2759,0.8,2585,0.7,3532,1.1,1576,0.6,4969,1.0
72,"2","5","4","5","0","家事用消耗品",3563,1.0,3579,1.0,3509,1.1,2805,1.0,4471,0.9
73,"2","5","4","6","0","家事サービス",802,0.2,977,0.3,461,0.1,155,0.1,81,0.0
74,"2","4","5","0","0","被服及び履物",14049,4.1,13494,3.9,10164,3.2,11578,4.3,33003,6.4
75,"2","5","5","1","0","和服",900,0.3,102,0.0,-,-,-,-,14574,2.8
76,"2","5","5","2","0","洋服",5919,1.7,6435,1.9,3931,1.2,5367,2.0,4092,0.8
77,"2","6","5","2","1","男子用洋服",1655,0.5,1683,0.5,712,0.2,3315,1.2,1107,0.2
78,"2","6","5","2","2","婦人用洋服",3798,1.1,4376,1.3,2622,0.8,1227,0.5,2099,0.4
79,"2","6","5","2","3","子供用洋服",465,0.1,376,0.1,597,0.2,826,0.3,886,0.2
80,"2","5","5","3","0","シャツ・セーター類",2350,0.7,2425,0.7,1630,0.5,1913,0.7,3483,0.7
81,"2","6","5","3","1","男子用シャツ・セーター類",663,0.2,644,0.2,308,0.1,503,0.2,1899,0.4
82,"2","6","5","3","2","婦人用シャツ・セーター類",1572,0.5,1722,0.5,1237,0.4,1058,0.4,990,0.2
83,"2","6","5","3","3","子供用シャツ・セーター類",115,0.0,59,0.0,85,0.0,352,0.1,595,0.1
84,"2","5","5","4","0","下着類",1129,0.3,1203,0.3,904,0.3,940,0.4,887,0.2
85,"2","6","5","4","1","男子用下着類",317,0.1,341,0.1,219,0.1,252,0.1,291,0.1
86,"2","6","5","4","2","婦人用下着類",717,0.2,770,0.2,608,0.2,587,0.2,416,0.1
87,"2","6","5","4","3","子供用下着類",96,0.0,92,0.0,77,0.0,100,0.0,179,0.0
88,"2","5","5","5","0","生地・糸類",94,0.0,113,0.0,29,0.0,66,0.0,22,0.0
89,"2","5","5","6","0","他の被服",986,0.3,873,0.3,1536,0.5,1226,0.5,989,0.2
90,"2","5","5","7","0","履物類",1601,0.5,1374,0.4,1620,0.5,1840,0.7,4239,0.8
91,"2","5","5","8","0","被服関連サービス",1070,0.3,970,0.3,515,0.2,225,0.1,4716,0.9
92,"2","4","6","0","0","保健医療",18861,5.4,20195,5.8,12822,4.0,13263,5.0,21629,4.2
93,"2","5","6","1","0","医薬品",3441,1.0,3558,1.0,2811,0.9,3686,1.4,2929,0.6
94,"2","5","6","2","0","健康保持用摂取品",1692,0.5,1877,0.5,835,0.3,1797,0.7,943,0.2
95,"2","5","6","3","0","保健医療用品・器具",3361,1.0,3493,1.0,1958,0.6,2254,0.8,6090,1.2
96,"2","5","6","4","0","保健医療サービス",10367,3.0,11267,3.3,7218,2.2,5526,2.1,11667,2.3
97,"2","4","7","0","0","交通・通信",32302,9.3,33238,9.6,26551,8.2,25375,9.5,41472,8.1
98,"2","5","7","1","0","交通",9086,2.6,8749,2.5,7615,2.4,5310,2.0,21717,4.2
99,"2","5","7","2","0","自動車等関係費",10299,3.0,11856,3.4,3380,1.0,7776,2.9,7905,1.5
100,"2","6","7","2","1","自動車等購入",-,-,-,-,-,-,-,-,-,-
101,"2","6","7","2","2","自転車購入",470,0.1,575,0.2,-,-,532,0.2,-,-
102,"2","6","7","2","3","自動車等維持",9829,2.8,11281,3.3,3380,1.0,7243,2.7,7905,1.5
103,"2","5","7","3","0","通信",12917,3.7,12634,3.7,15556,4.8,12289,4.6,11850,2.3
104,"2","4","8","0","0","教育",21758,6.3,20176,5.8,3890,1.2,6709,2.5,100994,19.7
105,"2","5","8","1","0","授業料等",15556,4.5,14080,4.1,1515,0.5,2796,1.0,82140,16.0
106,"2","5","8","2","0","教科書・学習参考教材",57,0.0,54,0.0,90,0.0,-,-,99,0.0
107,"2","5","8","3","0","補習教育",6146,1.8,6043,1.7,2285,0.7,3912,1.5,18755,3.7
108,"2","4","9","0","0","教養娯楽",37025,10.7,39965,11.6,25980,8.1,20292,7.6,44097,8.6
109,"2","5","9","1","0","教養娯楽用耐久財",4025,1.2,4758,1.4,2941,0.9,8,0.0,2002,0.4
110,"2","5","9","2","0","教養娯楽用品",8661,2.5,8645,2.5,6366,2.0,7771,2.9,14969,2.9
111,"2","5","9","3","0","書籍・他の印刷物",3404,1.0,3549,1.0,2289,0.7,3082,1.2,4305,0.8
112,"2","5","9","4","0","教養娯楽サービス",20935,6.0,23013,6.7,14384,4.5,9431,3.5,22822,4.4
113,"2","6","9","4","1","宿泊料",2215,0.6,2656,0.8,756,0.2,346,0.1,2006,0.4
114,"2","6","9","4","2","パック旅行費",1667,0.5,1993,0.6,498,0.2,95,0.0,1955,0.4
115,"2","6","9","4","3","月謝類",5297,1.5,5720,1.7,2696,0.8,2200,0.8,9401,1.8
116,"2","6","9","4","4","他の教養娯楽サービス",11756,3.4,12643,3.7,10434,3.2,6789,2.5,9460,1.8
117,"2","4","10","0","0","その他の消費支出",59239,17.1,61440,17.8,46034,14.3,35524,13.3,89993,17.5
118,"2","5","10","1","0","諸雑費",28628,8.3,29408,8.5,22809,7.1,20316,7.6,41848,8.2
119,"2","6","10","1","1","理美容サービス",4222,1.2,4528,1.3,3089,1.0,2331,0.9,5120,1.0
120,"2","6","10","1","2","理美容用品",6395,1.8,6473,1.9,5319,1.7,5146,1.9,9341,1.8
121,"2","6","10","1","3","身の回り用品",2953,0.9,3148,0.9,1794,0.6,3197,1.2,2535,0.5
122,"2","6","10","1","4","たばこ",902,0.3,805,0.2,1292,0.4,1390,0.5,694,0.1
123,"2","6","10","1","5","他の諸雑費",14156,4.1,14454,4.2,11314,3.5,8253,3.1,24158,4.7
124,"2","5","10","2","0","こづかい",9701,2.8,10780,3.1,3997,1.2,4368,1.6,14763,2.9
125,"2","5","10","3","0","交際費",18277,5.3,19710,5.7,18863,5.9,10780,4.0,8045,1.6
126,"2","6","10","3","0","食料",5390,1.6,6190,1.8,1726,0.5,3990,1.5,4532,0.9
127,"2","6","10","3","0","家具・家事用品",122,0.0,148,0.0,27,0.0,-,-,148,0.0
128,"2","6","10","3","0","被服及び履物",198,0.1,243,0.1,-,-,225,0.1,-,-
129,"2","6","10","3","0","教養娯楽",798,0.2,936,0.3,158,0.0,722,0.3,440,0.1
130,"2","6","10","3","0","他の物品サービス",378,0.1,458,0.1,55,0.0,380,0.1,-,-
131,"2","6","10","3","6","贈与金",6958,2.0,6417,1.9,15054,4.7,4167,1.6,481,0.1
132,"2","6","10","3","7","他の交際費",4432,1.3,5317,1.5,1843,0.6,1297,0.5,2444,0.5
133,"2","5","10","4","0","仕送り金",2633,0.8,1542,0.4,365,0.1,61,0.0,25337,4.9
134,"2","3","0","0","0","土地家屋購入",-,-,-,-,-,-,-,-,-,-
135,"2","3","0","0","0","（再掲）教育関係費",24439,7.1,23033,6.7,5353,1.7,7487,2.8,106491,20.8
136,"2","3","0","0","0","（再掲）教養娯楽関係費",42560,12.3,45868,13.3,30501,9.5,23506,8.8,50035,9.8
