"項目","階層","大分類","中分類","小分類","中間計","符号","項目名","都平均／実数（円）","都平均／対前年増加率（％）","35歳未満（円）","35～39歳（円）","40～44歳（円）","45～49歳（円）","50～54歳（円）","55～59歳（円）","60～64歳（円）","65歳以上（円）","（再掲）75歳以上（円）"
"0","0","0","0","0","0","0","世帯数分布",10000,-,555,587,808,982,1194,963,919,3993,2115
"0","0","0","0","0","0","0","調査世帯数",637,-,34,38,52,63,73,60,60,258,136
"0","0","0","0","0","0","0","世帯人員",2.90,-,3.04,3.62,3.74,3.54,3.50,3.04,2.72,2.29,2.25
"0","0","0","0","0","0","0","有業人員",1.32,-,1.59,1.60,1.48,1.68,1.81,1.93,1.71,0.74,0.56
"0","0","0","0","0","0","0","世帯主平均年齢",59.6,-,30.9,37.0,42.0,47.1,51.9,56.9,62.1,75.9,81.2
"2","2","0","0","0","0","0","生計支出",329608,-3.2,292313,318780,366211,366459,416534,373945,351269,278953,256486
"2","3","0","0","0","0","0","消費支出",324667,0.6,292313,312462,341801,363688,416534,372085,348527,273781,256486
"2","4","1","0","0","0","0","食料",92909,-1.3,73021,82741,100755,99100,101809,104128,99034,87361,82275
"2","5","1","1","0","0","0","穀類",6833,-2.1,4983,5914,7327,7680,7178,7523,7033,6622,6139
"2","6","1","1","1","0","0","米類",1676,-5.4,1378,991,1471,1881,1748,1985,1694,1720,1681
"2","7","1","1","1","0","102","米",1676,-5.4,1378,991,1471,1881,1748,1985,1694,1720,1681
"2","6","1","1","2","0","0","パン",2965,0.4,1929,2925,3420,3414,2980,3084,3095,2856,2571
"2","7","1","1","2","0","120","食パン",990,4.0,564,842,1070,984,977,981,1048,1051,980
"2","7","1","1","2","0","129","他のパン",1975,-1.3,1366,2083,2349,2430,2003,2103,2047,1805,1591
"2","6","1","1","3","0","0","麺類",1654,-2.4,1242,1509,1832,1828,1828,1859,1700,1543,1429
"2","7","1","1","3","0","130","生うどん・そば",289,4.3,202,240,271,297,292,269,297,311,300
"2","7","1","1","3","0","131","乾うどん・そば",174,-12.6,109,93,131,169,155,137,154,227,230
"2","7","1","1","3","0","134","パスタ",146,5.0,138,195,155,204,182,176,181,98,82
"2","7","1","1","3","0","133","中華麺",413,-3.5,254,356,473,459,428,398,427,415,397
"2","7","1","1","3","0","135","カップ麺",393,0.0,355,407,476,452,472,595,401,289,245
