階層コード,地域コード,地域,人口総数／平成22年１月１日,人口総数／平成21年12月１日,人口総数／平成21年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13009759,13011957,12925583,-2198,-0.02,84176,0.65
1,13100,区部,8851384,8853672,8791197,-2288,-0.03,60187,0.68
1,13200,市部,4070115,4069983,4045926,132,0,24189,0.6
1,13300,郡部,59783,59802,59731,-19,-0.03,52,0.09
1,13350,島部,28477,28500,28729,-23,-0.08,-252,-0.88
,,,,,,,,,
住民基本台帳による世帯と人口_平成22年1月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
