"年度","区・財団関係 件数[件]","区・財団関係 人数[人]","社会教育関係団体 件数[件]","社会教育関係団体 人数[人]","その他団体 件数[件]","その他団体 人数[人]","図書室利用 人数[人]","合計 件数[件]","合計 人数[人]"
"2014","92","716","659","5875","836","9992","7268","1587","23851"
"2015","131","1102","650","4835","868","12084","8054","1649","26075"
"2016","78","935","614","4531","890","10698","10078","1582","26242"
"2017","95","1118","614","4741","900","9861","10592","1609","26312"
"2018","182","1951","568","4444","866","9038","12207","1616","27640"

"令和元年度港区行政資料集　施設利用状況一覧 青山生涯学習館","Ver201903",,,,,,,,
