NO,施設名,所在地,緯度,経度,電話番号,自動車適正収容台数［台］,自動二輪車適正収容台数［台］,計［台］
1,練馬駅北口地下駐車場,練馬区練馬1-17-5,35.73860642,139.6532724,03-3557-5190,460,30,490
2,石神井公園駅北口駐車場（石神井公園ピアレスパーキング）,練馬区石神井町2-14-15,35.74443935,139.6069778,03-5190-3981,262,25,287
3,大泉学園駅北口駐車場（大泉学園ゆめりあ北パーキング）,練馬区東大泉1-29-1,35.75006211,139.585652,03-5387-2600,38,0,38
4,大泉学園駅南口駐車場（大泉学園ゆめりあ南パーキング）,練馬区東大泉5-43-1,35.748556,139.5854184,03-5933-1711,242,0,242
5,合計,－,－,－,－,1002,55,1057
