"名称","所在地","連絡先","開所日","開所日時","撤去区域","経度","緯度","分類"
"鷺宮南自転車保管場所","白鷺2-49","03-5356-7708","月曜日～土曜日／第2・第4日曜日（祝日、12月29日~1月3日を除く）","正午～午後8時","中野駅・鷺ノ宮駅周辺","139.636113594829","35.7218814745935","区営自転車保管場所設置箇所"
"鷺宮東自転車保管場所","若宮3-56","03-5356-6505","月曜日～土曜日／第2・第4日曜日（祝日、12月29日~1月3日を除く）","正午～午後8時","東中野駅・落合駅・中野坂上駅・中野新橋駅・中野富士見町駅・新中野駅周辺","139.641520687158","35.7210454903035","区営自転車保管場所設置箇所"
"上鷺自転車保管場所","上鷺宮5-6","03-3825-7194","月曜日～土曜日／第2・第4日曜日（祝日、12月29日~1月3日を除く）","正午～午後8時","都立家政駅・富士見台駅・新江古田駅・野方駅・新井薬師駅周辺","139.627897341621","35.7288863482579","区営自転車保管場所設置箇所"
"沼袋地下自転車保管場所","沼袋1-34-14","03-3387-2178","月～土,第2・第4日曜（祝日,12/29~1/3除く）","正午～午後8時","沼袋駅周辺","139.665185670066","35.7197200650732","区営自転車保管場所設置箇所"
"沼袋地下自転車保管場所","沼袋１－３４－１４","０３－３３８７－２１７８","月～土、第2･4日曜(祝日･12/29～1/3除く)","正午～午後8時","沼袋駅周辺","139.665185670066","35.7197200650732","区営自転車保管場所設置箇所"
