"都道府県コード又は市区町村コード","No","都道府県名","市区町村名","名称","名称_カナ","名称_通称","POIコード","住所","方書","内線番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","電話番号","説明","バリアフリー情報","URL","備考","郵便番号","アクセス方法","駐車場_有無","駐車場情報","料金_要否","料金_基本","料金_詳細","利用条件_有無","利用条件_詳細","託児所_有無","託児所_詳細","画像","画像_ライセンス","画像_詳細","経度","緯度","分類"
"131148","179","東京都","中野区","上町防災広場","カミチョウボウサイヒロバ","","1006a","中野区中央4-35","","","","","","","","","","","","","ポケットパーク","164-0011","","0","","","","","","","","","","","","139.66993938652","35.7007954574931","防災広場"
"131148","180","東京都","中野区","新井東防災広場","アライヒガシボウサイヒロバ","","1006a","中野区新井1-34","","","","","","","","","","","","","ポケットパーク","165-0026","","0","","","","","","","","","","","","139.66866451906","35.7122201063237","防災広場"
"131148","181","東京都","中野区","若宮防災広場","ワカミヤボウサイヒロバ","","1006a","中野区若宮3-42","","","","","","","","","","","","","ポケットパーク","165-0033","","0","","","","","","","","","","","","139.645310423764","35.7183972688492","防災広場"
"131148","182","東京都","中野区","白鷺二丁目防災広場","シラサギボウサイヒロバ","","1006a","中野区白鷺2-6","","","","","","","","","","","","","ポケットパーク","165-0035","","0","","","","","","","","","","","","139.635288561192","35.7173707926563","防災広場"
"131148","183","東京都","中野区","多田防災広場","タダボウサイヒロバ","","1006a","中野区南台3-19","","","","","","","","","","","","","ポケットパーク","164-0014","","0","","","","","","","","","","","","139.667538357709","35.6846106033008","防災広場"
"131148","184","東京都","中野区","新山通防災広場","シンヤマドオリボウサイヒロバ","","1006a","中野区南台2-8","","","","","","","","","","","","","ポケットパーク","164-0014","","0","","","","","","","","","","","","139.670388656846","35.68139798496","防災広場"
"131148","185","東京都","中野区","大和町三丁目防災広場","ヤマトチョウサンチョウメボウサイヒロバ","","1006a","中野区大和町3-16","","","","","","","","","","","","","ポケットパーク","165-0034","","0","","","","","","","","","","","","139.647733870766","35.7116650265731","防災広場"
"131148","186","東京都","中野区","鍋横防災広場","ナベヨコボウサイヒロバ","","1006a","中野区中央4-8","","","","","","","","","","","","","ポケットパーク","164-0011","","0","","","","","","","","","","","","139.669302878117","35.6986322421584","防災広場"
"131148","187","東京都","中野区","宮桃防災広場","ミヤモモボウサイヒロバ","","1006a","中野区中野3-29","","","","","","","","","","","","","ポケットパーク","164-0001","","0","","","","","","","","","","","","139.664465804032","35.7017341064897","防災広場"
"131148","188","東京都","中野区","野方三丁目防災広場","ノガタサンチョウメボウサイヒロバ","","1006a","中野区野方3-6","","","","","","","","","","","","","ポケットパーク","165-0027","","0","","","","","","","","","","","","139.656241232401","35.7173581971115","防災広場"
