"No","タイプ","所在地","管理番号","備考","経度","緯度","分類"
"1","誘導","弥生町6-6-31","南Ｙｈ－９１０１","","139.660718393663","35.6863833540564","公共サイン一覧"
"2","誘導","弥生町5-9-50","南Ｙｈ－９１０２","","139.666719059676","35.6875825867658","公共サイン一覧"
"3","誘導","弥生町4-7-15","南Ｙｈ－９１０４","","139.673848624104","35.6898524557748","公共サイン一覧"
"4","誘導","弥生町3-29-4","南Ｙｈ－９１０５","","139.67331740613","35.688624332132","公共サイン一覧"
"5","誘導","南台1-15","南Ｙｈ－９１０６","","139.672981968469","35.6842421920887","公共サイン一覧"
"6","誘導","弥生町2-44-7","南Ｙｈ－９１０８","","139.670970822221","35.6910058856092","公共サイン一覧"
"7","誘導","南台2-48","南Ｙｈ－９１０９","","139.670563350451","35.6846074532752","公共サイン一覧"
"8","誘導","弥生町4-22-2","南Ｙｈ－９１１０","","139.67066188777","35.6864180822275","公共サイン一覧"
"9","誘導","弥生町4-33-4","南Ｙｈ－９１１１","","139.668977819005","35.6887234407032","公共サイン一覧"
"10","誘導","南台3-1-17","南Ｙｈ－９１１３","","139.669222516762","35.6827788997143","公共サイン一覧"
"11","誘導","南台4-3-7","南Ｙｈ－９１１４","","139.669302383757","35.6812654600679","公共サイン一覧"
"12","誘導","弥生町5-24-4","南Ｙｈ－９１１５","","139.66692848371","35.6904936045783","公共サイン一覧"
"13","誘導","南台3-22-37","南Ｙｈ－９１１６","","139.667322359656","35.6856848451643","公共サイン一覧"
"14","誘導","南台3-15-3","南Ｙｈ－９１１７","","139.66728516404","35.6836317556663","公共サイン一覧"
"15","誘導","南台4-3-12","南Ｙｈ－９１１８","","139.668532329949","35.6812799426052","公共サイン一覧"
"16","誘導","南台4-12-6","南Ｙｈ－９１１９","","139.666761534994","35.6820074262987","公共サイン一覧"
"17","誘導","南台3-26-12","南Ｙｈ－９１２０","","139.665478054472","35.6853195421758","公共サイン一覧"
"18","誘導","南台4-48-1","南Ｙｈ－９１２２","","139.665675209907","35.6789822176926","公共サイン一覧"
"19","誘導","南台5-9-19","南Ｙｈ－９１２３","","139.663759121616","35.6820899789835","公共サイン一覧"
"20","誘導","南台5-15-26","南Ｙｈ－９１２４","","139.663429503263","35.6796600161868","公共サイン一覧"
"21","誘導","弥生町6-4-1","南Ｙｈ－９１２６","","139.662910707185","35.6875399271756","公共サイン一覧"
"22","誘導","弥生町6-2","南Ｙｈ－９１２７","","139.662268651427","35.6865646739892","公共サイン一覧"
"23","誘導","南台5-15-9","南Ｙｈ－９１２９","","139.662175887272","35.6808305101978","公共サイン一覧"
"24","誘導","南台5-33-7","南Ｙｈ－９１３０","","139.659879309776","35.683543880479","公共サイン一覧"
"25","誘導","弥生町5-6-10","南Ｙｈ－９３０１","","139.665473498007","35.6867096003622","公共サイン一覧"
"26","誘導","南台3-45-8","南Ｙｈ－９３０２","","139.663701816576","35.6849047124606","公共サイン一覧"
"27","誘導","南台5-17-32","南Ｙｈ－９３０３","","139.661427357438","35.6811134489193","公共サイン一覧"
"28","特殊狭路","弥生町3-33-4","南Ｙｓ－９３０１","","139.674405040586","35.6884011766065","公共サイン一覧"
"29","特殊壁付","弥生町3-3-1","南Ｙｋ－９３０１","","139.675992934424","35.6885826583711","公共サイン一覧"
"30","特殊狭路","弥生町3-34-15","南Ｙｓ－９３０２","","139.674206708922","35.6892429193824","公共サイン一覧"
"31","特殊壁付","南台4-33-5","南Ｙｋ－９３０３","撤去済み","139.666278865253","35.680353362843","公共サイン一覧"
"31","誘導","本町3-23-5","弥Ｙｈ－９２０１","","139.674197376968","35.6964731371935","公共サイン一覧"
"33","誘導","本町3-12-21","弥Ｙｈ－９２０２","","139.674410168088","35.6950339772353","公共サイン一覧"
"34","誘導","本町3-12-11","弥Ｙｈ－９２０３","","139.674509305388","35.694071256105","公共サイン一覧"
"35","誘導","弥生町2-23-1","弥Ｙｈ－９２０４","","139.674298521994","35.692821148186","公共サイン一覧"
"36","誘導","弥生町2-20-4","弥Ｙｈ－９２０５","","139.674595368924","35.6916135333187","公共サイン一覧"
"37","誘導","弥生町2-16-3","弥Ｙｈ－９２０６","","139.675021220422","35.6902568320782","公共サイン一覧"
"38","誘導","本町3-7-15","弥Ｙｈ－９２０８","","139.677076244498","35.6942797183994","公共サイン一覧"
"39","誘導","弥生町1-57","弥Ｙｈ－９２０９","","139.677268583771","35.6928155666434","公共サイン一覧"
"40","誘導","弥生町1-56-4","弥Ｙｈ－９２１０","","139.677174005421","35.6920166826839","公共サイン一覧"
"41","誘導","弥生町1-51-4","弥Ｙｈ－９２１１","","139.677196273337","35.6902213409788","公共サイン一覧"
"42","誘導","本町3-16","弥Ｙｈ－９２１２","","139.677705926895","35.6952084366488","公共サイン一覧"
"43","誘導","本町2-13-2","弥Ｙｈ－９２１３","","139.677792439793","35.6944684697697","公共サイン一覧"
