地域階層,地域コード,国・地域(人),総数,韓国・朝鮮,中国,フィリピン,米国,英国,ブラジル,タイ,ミャンマー,インド,オーストラリア,その他,前年同月との比較／総数,前年同月との比較／増減数
2,13303,瑞穂町,341,48,29,68,27,3,44,12,1,4,-,105,329,12
2,13305,日の出町,67,22,9,10,8,1,12,1,-,-,-,4,63,4
2,13307,檜原村,15,-,1,6,7,-,-,-,-,-,-,1,16,-1
2,13308,奥多摩町,19,5,2,6,6,-,-,-,-,-,-,-,22,-3
2,13361,大島町,24,6,2,3,1,-,2,2,-,-,-,8,28,-4
2,13362,利島村,-,-,-,-,-,-,-,-,-,-,-,-,1,-1
2,13363,新島村,5,1,2,-,1,-,1,-,-,-,-,-,6,-1
2,13364,神津島村,2,-,-,-,-,-,-,-,-,-,-,-,2,-
2,13381,三宅村,47,15,2,23,3,-,1,-,-,-,-,3,46,1
2,13382,御蔵島村,1,-,-,-,-,-,-,-,-,-,-,-,2,-1
2,13401,八丈町,138,50,7,65,6,2,1,2,-,-,2,3,149,-11
2,13402,青ケ島村,1,-,-,-,-,-,-,-,-,-,-,-,1,-
2,13421,小笠原村,14,5,1,1,3,1,-,-,-,-,-,3,15,-1
,,,,,,,,,,,,,,,,
外国人登録人口_平成12年7月,,,,,,,,,,,,,,,,
第１表　区市町村別主要１０か国外国人登録人口（平成１2年7月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成１2年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）区市町村別外国人登録人口総数が３以下の場合、内訳は秘匿した。秘匿数字は｢-｣表示とした。したがって、｢-｣は該当数字なしと秘匿数字の２つの意味を持つことになる。,,,,,,,,,,,,,,,,
地域階層（0:総数1:区部・市部・町村部2:郡部・島部3:支庁4:区市町村）,,,,,,,,,,,,,,,,
