"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]","他団体出資等分[百万円]"
"年度","2020",,,
"期間（自）","20200401",,,
"期間（至）","20210331",,,
"前年度末純資産残高","3565614","3569876","-4265","3"
"本年度純資産変動額 本年度差額 純行政コスト","-212949",,"-212949","-"
"本年度純資産変動額 本年度差額 財源","223409",,"223409","-"
"本年度純資産変動額 本年度差額 財源 税収等","138795",,"138795","-"
"本年度純資産変動額 本年度差額 財源 国都等補助金","84614",,"84614","-"
"本年度純資産変動額 本年度差額","10460",,"10460","-"
"本年度純資産変動額 固定資産等の変動（内部変動）",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,,,
"本年度純資産変動額 資産評価差額","-","-",,
"本年度純資産変動額 無償所管換等","17820","17820",,
"本年度純資産変動額 他団体出資等分の増加","-",,,"-"
"本年度純資産変動額 他団体出資等分の減少","-",,,"-"
"本年度純資産変動額 比例連結割合変更に伴う差額","1568","1708","-140","0"
"本年度純資産変動額 その他","-293","-3","-290",
"本年度純資産変動額","29555","23337","6217","0"
"本年度末純資産残高","3595169","3593214","1952","3"

"連結会計財務書類（純資産変動計算書）(令和2年4月1日から令和3年3月31日)","Ver202103",,,
