品目階層Item_Class,品目番号Item_Number,品目名称Item_Name,Item_Name,ウェイトWeight,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023
0,K1D000000I,第３次産業総合,Tertiary Industry,10000,99.5,98.6,100,101.4,102.6,104,104.9,98.5,100.3,101.6,103.9
1,DA00000I,電気・ガス・熱供給・水道業,"Electricity, Gas, Heat Supply and Water",129.2,102,101.2,100,100.6,101.4,101.9,100.6,98.1,98.5,99.9,97.5
1,DB00000I,情報通信業,Information and Communications,1660.8,99.3,99.6,100,101,102,102.9,104.2,102.2,104.6,106.5,108.7
2,DBA0000I,通信業,Communications,271.2,97.7,100,100,103,105.4,111.9,112.4,110.5,108.9,106.3,104.1
2,DBB0000I,放送業,Broadcasting,157,99.3,99.7,100,101,101.8,102.8,103.8,101.2,103.7,105.2,107.1
2,DBC0000I,情報サービス業,Information Services,920.7,98.8,99.2,100,101,102.5,103,105.8,104.5,109.1,114,119.4
2,DBD0000I,インターネット附随サービス業,Services Incidental to Internet,73.8,82.5,89.6,100,104.5,109.1,109.9,109.9,119.2,128,129.6,126.4
2,DBE0000I,映像・音声・文字情報制作業,"Video Picture,Sound Information,Character Information Production & Distribution",238.1,108.3,104.1,100,97.7,94.2,90.3,87.1,79.3,76,71.1,67.8
1,DC00000I,運輸業，郵便業,Transport and Postal Activities,555.5,100.3,99.9,100,101.7,104,104.7,104.7,85.1,83.4,88.5,93.3
2,DCA0000I,運輸業,Transport,486.4,100.2,100,100,102.1,104.9,106,106.1,84.6,82.9,89,95
3,DCAA000I,鉄道業,Railway Transport,164.8,96.2,98.2,100,101.8,103.2,104.6,106.1,78.3,74.7,82.3,90.1
4,DCAA100I,鉄道旅客運送業,Railway Passenger Transport,163.9,96.1,98.2,100,101.8,103.2,104.6,106.1,78.2,74.6,82.3,90.1
5,DCAA110I,鉄道旅客運送業（ＪＲ）,Railway Passenger Transport (Japan Railway),85.1,97.2,98.7,100,101.5,102.3,103.3,104.1,78.1,74.2,81.6,88.7
5,DCAA120I,鉄道旅客運送業（ＪＲを除く）,Railway Passenger Transport (except Japan Railway),78.8,95,97.6,100,102.1,104.2,106.1,108.2,78.4,75.1,83,91.5
