"年度[西暦]","ひろば利用人数  [人]","一時保育利用人数  [人]","地域保育コース 一時預かり事業[人]","ファミリー・サポート・センター事業[人]","地域子育て支援拠点事業[人]"
"2018","25332","7456","76","74","12"
"2019","22866","7886","30","26",
"2020","7315","3774","49","48",
"2021","7763","3241","42","41",
"2022","13440","4765","35","35",

"令和5年度港区行政資料集　みなと子育てサポートハウス事業（あい・ぽーと）実施状況","Ver202303",,,,
