行,EPSGコード,経度,緯度,調査地点名,郵便番号,所在地,URL
1,EPSG:6677,-31865.071,-52560.226,つくし野小学校,194-0001,東京都町田市つくし野2-21-11,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tsukushino.files/tsukushino2-21.pdf
2,EPSG:6677,-32191.829,-52681.858,つくし野災害備蓄倉庫,194-0001,東京都町田市つくし野2-35-10,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tsukushino.files/tsukushino2-35-10.pdf
3,EPSG:6677,-32309.698,-53347.293,つくし野中学校,194-0002,東京都町田市南つくし野2-14-2,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/minamitukusino.files/minamitukusino2-14-2.pdf
4,EPSG:6677,-32855.237,-52409.719,小川小学校,194-0003,東京都町田市小川3-10-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/ogawa.files/ogaawa3-10-1.pdf
5,EPSG:6677,-33040.926,-54815.075,鶴間小学校,194-0004,東京都町田市鶴間4-17-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/tsuruma.files/tsuruma4-17-1.pdf
6,EPSG:6677,-33159.116,-52981.866,南第一小学校,194-0005,東京都町田市南町田1-10-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/minamimachida.files/minamimachida1-10-1.pdf
7,EPSG:6677,-34075.611,-51329.477,南第三小学校,194-0012,東京都町田市金森東1-2-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanamorihigashi.files/kanamorihigashi1-2-1.pdf
8,EPSG:6677,-33644.241,-52409.79,南中学校,194-0012,東京都町田市金森3-27-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanamori.files/kanamori3-27-1.pdf
9,EPSG:6677,-33243.669,-52774.614,南市民センター,194-0012,東京都町田市金森4-5-6,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanamori.files/kanamori4-5-6.pdf
10,EPSG:6677,-33218.533,-52763.626,子どもセンターばあん,194-0012,東京都町田市金森4-5-7,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanamori.files/kanamori4-5-7.pdf
11,EPSG:6677,-34472.208,-50319.267,町田第二小学校,194-0013,東京都町田市原町田4-26-40,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/haramachida.files/haramachida4-26-40.pdf
12,EPSG:6677,-34278.307,-50535.743,国際版画美術館,194-0013,東京都町田市原町田4-28-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/haramachida.files/haramachida4-28-1.pdf
13,EPSG:6677,-34624.763,-50682.186,町田市民文学館ことばらんど,194-0013,東京都町田市原町田4-16-17,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/haramachida.files/haramachida4-16-17.pdf
14,EPSG:6677,-34753.211,-50298.31,健康福祉会館,194-0013,東京都町田市原町田5-8-21,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/haramachida.files/haramachida5-8-21.pdf
15,EPSG:6677,-33637.388,-50813.736,高ヶ坂小学校,194-0014,東京都町田市高ヶ坂6-7-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kogasaka.files/kogasaka6-7-1.pdf
16,EPSG:6677,-33659.989,-50986.455,デイサービス高ヶ坂,194-0014,東京都町田市高ヶ坂7-26-8,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kogasaka.files/kogasaka7-26-8.pdf
17,EPSG:6677,-33867.55,-51512.191,金森保育園,194-0015,東京都町田市金森東1-12-16,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanamorihigashi.files/kanamorihigashi1-12-16.pdf
18,EPSG:6677,-33379.766,-52037.583,ふれあいもみじ館,194-0015,東京都町田市金森東3-17-14,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanamorihigashi.files/kanamorihigashi3-17-14.pdf
19,EPSG:6677,-33260.657,-51762.004,南第四小学校,194-0015,東京都町田市金森東3-21-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/kanamorihigashi.files/kanamorihigashi3-21-1.pdf
20,EPSG:6677,-34859.573,-50056.186,子どもセンターまあち,194-0021,東京都町田市中町1-31-22,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/nakamachi.files/nakamachi1-31-22.pdf
21,EPSG:6677,-35260.225,-49677.238,すみれ会館,194-0021,東京都町田市中町2-13-14,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/nakamachi.files/nakamachi2-13-14.pdf
22,EPSG:6677,-35285.567,-49698.681,さるびあ図書館,194-0021,東京都町田市中町2-13-23,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/nakamachi.files/nakamachi2-13-23.pdf
23,EPSG:6677,-35821.383,-49871.194,町田第四小学校,194-0022,東京都町田市森野2-21-28,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/morino.files/morino2-21-28.pdf
24,EPSG:6677,-36338.539,-49400.996,もりの聖愛保育園,194-0022,東京都町田市森野4-8-10,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/morino.files/morino4-8-10.pdf
25,EPSG:6677,-35291.699,-50596.352,町田バスセンター,194-0022,東京都町田市森野1-15,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/morino.files/morino1-15.pdf
26,EPSG:6677,-36044.434,-49471.808,森野三丁目保育園,194-0022,東京都町田市森野3-11-16,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/morino.files/morino3-11-16.pdf
27,EPSG:6677,-36146.151,-49914.731,町田市消防団消防器具置場第1分団第3部,194-0022,東京都町田市森野5-9-23,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/morino.files/morino5-9-23.pdf
28,EPSG:6677,-35902.174,-49118.088,町田市民病院たけのこ保育室,194-0023,東京都町田市旭町2-2-18,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/asahimachi.files/asahimachi2-2-18.pdf
29,EPSG:6677,-33552.076,-49648.578,南大谷小学校,194-0031,東京都町田市南大谷811-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/minamiooya.files/minamiooya811-1.pdf
30,EPSG:6677,-33808.852,-49937.804,町田第六小学校,194-0031,東京都町田市南大谷1260,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/minamiooya.files/minamiooya1260.pdf
31,EPSG:6677,-34279.899,-49909.944,町田第二中学校,194-0031,東京都町田市南大谷1327,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/minamiooya.files/minamiooya1327.pdf
32,EPSG:6677,-33533.418,-49776.257,南大谷中学校,194-0031,東京都町田市南大谷985-1,https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/minamiooya.files/minamiooya985-1.pdf
