行,EPSGコード,経度,緯度,名称,URL
1,EPSG:6677,-33546.462,-48356.712,玉川学園_玉川学園前駅周辺(1),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/tamagawagakuenmaeeki-1.pdf
2,EPSG:6677,-33580.398,-48339.347,玉川学園_玉川学園前駅周辺(2),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/tamagawagakuenmaeeki-2.pdf
3,EPSG:6677,-33704.222,-48755.953,玉川学園_都市計画道路3.4.33号線（学園）(1),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/tamagawagakuen_toshi3.4.33-1.pdf
4,EPSG:6677,-33679.74,-48648.721,玉川学園_都市計画道路3.4.33号線（学園）(2),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/tamagawagakuen_toshi3.4.33-2.pdf
5,EPSG:6677,-32670.598,-44922.641,広袴町_都市計画道路3.4.30号線（広袴）(1),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/hirohakamamachi_toshi3.4.30-1.pdf
6,EPSG:6677,-32617.619,-44896.927,広袴町_都市計画道路3.4.30号線（広袴）(2),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/hirohakamamachi_toshi3.4.30-2.pdf
7,EPSG:6677,-36699.102,-47340.557,山崎町_忠生33号線（山崎）(1),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/yamasakimachi_tadao33-1.pdf
8,EPSG:6677,-36646.597,-47266.055,山崎町_忠生33号線（山崎）(2),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/yamasakimachi_tadao33-2.pdf
9,EPSG:6677,-43934.598,-44034.622,小山町_都市計画道路3.4.42号線（小山）(1),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/oyamamachi_toshi3.4.42-1.pdf
10,EPSG:6677,-43918.957,-43984.674,小山町_都市計画道路3.4.42号線（小山）(2),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/oyamamachi_toshi3.4.42-2.pdf
11,EPSG:6677,-43902.588,-43937.532,小山町_都市計画道路3.4.42号線（小山）(3),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/oyamamachi_toshi3.4.42-3.pdf
12,EPSG:6677,-43881.8,-43907.2,小山町_H9.都市計画道路3・4・42号線（小山）(1),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/oyamamachi_H9toshi3.4.42-1.pdf
13,EPSG:6677,-43837.8,-43806.4,小山町_H9.都市計画道路3・4・42号線（小山）(2),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/oyamamachi_H9toshi3.4.42-2.pdf
14,EPSG:6677,-43816.5,-43745.1,小山町_H9.都市計画道路3・4・42号線（小山）(3),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/oyamamachi_H9toshi3.4.42-3.pdf
15,EPSG:6677,-39292.626,-44338.049,上小山田町_忠生579号線(1),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/kamioyamadamachi_tadao579-1.pdf
16,EPSG:6677,-39377.821,-44295.176,上小山田町_忠生579号線(2),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/kamioyamadamachi_tadao579-2.pdf
17,EPSG:6677,-39395.305,-44344.42,上小山田町_忠生579号線(3),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/kamioyamadamachi_tadao579-3.pdf
18,EPSG:6677,-39448.474,-44265.253,上小山田町_忠生579号線(4),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/kamioyamadamachi_tadao579-4.pdf
19,EPSG:6677,-39512.373,-44292.501,上小山田町_忠生579号線(5),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/kamioyamadamachi_tadao579-5.pdf
20,EPSG:6677,-39524.941,-44226.435,上小山田町_忠生579号線(6),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/kamioyamadamachi_tadao579-6.pdf
21,EPSG:6677,-39630.27,-44134.451,上小山田町_忠生579号線(7),https://www.city.machida.tokyo.jp/shisei/opendata/chishitsuchosa/douro.files/kamioyamadamachi_tadao579-7.pdf
