発火源,火災件数
合計,4085
電気を使用する道具・装置,1358
電気を使用する道具・装置_電熱器,206
電気を使用する道具・装置_電熱器_電気こんろ,14
電気を使用する道具・装置_電熱器_電気クッキングヒータ,22
電気を使用する道具・装置_電熱器_電気ポット,4
電気を使用する道具・装置_電熱器_電気ロースタ,2
電気を使用する道具・装置_電熱器_電気トースタ,13
電気を使用する道具・装置_電熱器_電気オーブン,3
電気を使用する道具・装置_電熱器_電気なべ,2
電気を使用する道具・装置_電熱器_電気コーヒー沸器,1
電気を使用する道具・装置_電熱器_電気蒸器,1
電気を使用する道具・装置_電熱器_電気湯（茶）沸器,1
電気を使用する道具・装置_電熱器_コーヒー焙煎器,1
電気を使用する道具・装置_電熱器_電気焼鳥器,2
電気を使用する道具・装置_電熱器_電気温水機,1
電気を使用する道具・装置_電熱器_電気フライヤ,3
電気を使用する道具・装置_電熱器_電気ストーブ,62
電気を使用する道具・装置_電熱器_温風機,4
電気を使用する道具・装置_電熱器_電気こたつ,2
電気を使用する道具・装置_電熱器_電気あんか,1
電気を使用する道具・装置_電熱器_電気座布団,1
電気を使用する道具・装置_電熱器_カーペット類,3
電気を使用する道具・装置_電熱器_オイルヒータ,4
電気を使用する道具・装置_電熱器_電気温床線（床暖房等）,1
電気を使用する道具・装置_電熱器_電気足温器,1
電気を使用する道具・装置_電熱器_便所用温水温風機（洗浄含む）,3
電気を使用する道具・装置_電熱器_電気アイロン,4
電気を使用する道具・装置_電熱器_ヘアードライヤ,6
電気を使用する道具・装置_電熱器_鑑賞魚用ヒータ,3
電気を使用する道具・装置_電熱器_電気乾燥機,4
電気を使用する道具・装置_電熱器_サウナヒータ,2
電気を使用する道具・装置_電熱器_電気滅菌器　　　　　　　　　,1
電気を使用する道具・装置_電熱器_電気消毒器　　　　　　　　　,2
電気を使用する道具・装置_電熱器_ラミネータ,1
電気を使用する道具・装置_電熱器_電気溶接器　　　　　　　　　,14
電気を使用する道具・装置_電熱器_投込湯沸器　　　　　　　　　,8
電気を使用する道具・装置_電熱器_電気恒温器　　　　　　　　　,2
電気を使用する道具・装置_電熱器_電気工業用炉　　　　　　　　,2
電気を使用する道具・装置_電熱器_電気切断器（レーザ等含む）,3
電気を使用する道具・装置_電熱器_熱風機（ホットエアガン）,2
電気を使用する道具・装置_電気機器_,561
電気を使用する道具・装置_電気機器_電気冷蔵庫　　　　　　　　　,10
電気を使用する道具・装置_電気機器_電磁調理器　　　　　　　　　,21
電気を使用する道具・装置_電気機器_電子レンジ　　　　　　　　　,47
電気を使用する道具・装置_電気機器_換気扇　　　　　　　　　　　,7
電気を使用する道具・装置_電気機器_冷凍庫　　　　　　　　　　　,5
電気を使用する道具・装置_電気機器_冷蔵ショーケース　　　　　　,7
電気を使用する道具・装置_電気機器_冷凍ショーケース　　　　　　,2
電気を使用する道具・装置_電気機器_冷凍機,1
電気を使用する道具・装置_電気機器_ジューサ　　　　　　,5
電気を使用する道具・装置_電気機器_電気温蔵庫,4
電気を使用する道具・装置_電気機器_扇風機　　　　　　　　　　　,9
電気を使用する道具・装置_電気機器_冷房機　　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_冷暖房機　　　　　　　　　　,22
電気を使用する道具・装置_電気機器_サーキュレータ,2
電気を使用する道具・装置_電気機器_空気清浄機　　　　　　　　　,2
電気を使用する道具・装置_電気機器_集じん機　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_除湿機　　　　　　　　　　　,2
電気を使用する道具・装置_電気機器_加湿機　　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_ハロゲンヒータ（暖房器具）,7
電気を使用する道具・装置_電気機器_カーボンヒータ,12
電気を使用する道具・装置_電気機器_白熱電球　　　　　　　　　　,12
電気を使用する道具・装置_電気機器_白熱灯スタンド　　　　　　　,6
電気を使用する道具・装置_電気機器_蛍光灯　　　　　　　　　　　,42
電気を使用する道具・装置_電気機器_蛍光灯スタンド　　　　　　　,1
電気を使用する道具・装置_電気機器_ブラケット　　　　　　　　　,2
電気を使用する道具・装置_電気機器_シーリングライト　　　　　　,5
電気を使用する道具・装置_電気機器_ダウンライト　　　　　　　　,11
電気を使用する道具・装置_電気機器_スポットライト　　　　　　　,3
電気を使用する道具・装置_電気機器_投光器　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_水銀灯　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_器具外付け安定器　　　　　　,4
電気を使用する道具・装置_電気機器_看板灯　　　　　　　　　　　,4
電気を使用する道具・装置_電気機器_ネオン灯配線　　　　　　　　,7
電気を使用する道具・装置_電気機器_電気表示板（盤）　　　　　　,2
電気を使用する道具・装置_電気機器_ペンダントライト,3
電気を使用する道具・装置_電気機器_ハロゲンランプ,12
電気を使用する道具・装置_電気機器_クリップライト,1
電気を使用する道具・装置_電気機器_ＬＥＤ,23
電気を使用する道具・装置_電気機器_増幅器　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_スピーカ　　　　　　　　,2
電気を使用する道具・装置_電気機器_ＬＤ・ＣＤ・ＭＤ・ＤＶＤプレーヤ　　　　,2
電気を使用する道具・装置_電気機器_無線通信用設備機器　　　　　,1
電気を使用する道具・装置_電気機器_テレビゲーム機器,1
電気を使用する道具・装置_電気機器_テレビ（液晶モニタ式）,8
電気を使用する道具・装置_電気機器_その他の記録媒体を内蔵（又は挿入）するプレーヤ,2
電気を使用する道具・装置_電気機器_その他の記録媒体を内蔵（又は挿入）するレコーダ,3
電気を使用する道具・装置_電気機器_洗濯機　　　　　　　　　　　,5
電気を使用する道具・装置_電気機器_掃除機　　　　　　　　　　　,18
電気を使用する道具・装置_電気機器_電気あんま器　　　　　　　　,1
電気を使用する道具・装置_電気機器_鑑賞魚用ポンプモータ,1
電気を使用する道具・装置_電気機器_洗濯乾燥機　　　　　　　　　,2
電気を使用する道具・装置_電気機器_電気美容器具　　　　　　　　,4
電気を使用する道具・装置_電気機器_電動ミシン　　　　　　　　　,2
電気を使用する道具・装置_電気機器_浴室換気・乾燥・暖房機,2
電気を使用する道具・装置_電気機器_電話機　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_直流電源装置（ＡＣアダプタ含む）,13
電気を使用する道具・装置_電気機器_コンピュータ（本体）　　　　,28
電気を使用する道具・装置_電気機器_コンピュータ（ハードディスク）,1
電気を使用する道具・装置_電気機器_コンピュータ（モニタ）　　,4
電気を使用する道具・装置_電気機器_携帯電話機,11
電気を使用する道具・装置_電気機器_コンピュータ（その他外付機器）,1
電気を使用する道具・装置_電気機器_ネットワーク関係（ルータ等）,4
電気を使用する道具・装置_電気機器_自動販売機　　　　　　　　　,1
電気を使用する道具・装置_電気機器_自動現金支払機　　　　　　　,1
電気を使用する道具・装置_電気機器_電気ドリル　　　　　　　　　,2
電気を使用する道具・装置_電気機器_合成樹脂成型機　　　　　　　,1
電気を使用する道具・装置_電気機器_印刷機　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_送（排）風機　　　　　　　　,2
電気を使用する道具・装置_電気機器_洗浄機　　　　　　　　　　　,2
電気を使用する道具・装置_電気機器_研磨機（グラインダ含む）,14
電気を使用する道具・装置_電気機器_かくはん機　　　　　　　　　,1
電気を使用する道具・装置_電気機器_電動遊技（戯）機器　　　　　,1
電気を使用する道具・装置_電気機器_電気のこぎり　　　　　　　　,1
電気を使用する道具・装置_電気機器_旋盤　　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_分析装置　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_自動電圧調整装置　　　　　　,1
電気を使用する道具・装置_電気機器_レーザ加工機　　　　　　　,2
電気を使用する道具・装置_電気機器_水浄化装置　　　　　　　　　,3
電気を使用する道具・装置_電気機器_スライサ　　　　　　　　,2
電気を使用する道具・装置_電気機器_空気圧縮機　　　　　　　　　,3
電気を使用する道具・装置_電気機器_水中ポンプ　　　　　　　　　,2
電気を使用する道具・装置_電気機器_集じん機,1
電気を使用する道具・装置_電気機器_充電式電池　　　　　　　　　,68
電気を使用する道具・装置_電気機器_蓄電池　　　　　　　　　　　,7
電気を使用する道具・装置_電気機器_リチウム電池　　　　　　　　,1
電気を使用する道具・装置_電気機器_無停電電源装置,4
電気を使用する道具・装置_電気機器_太陽光発電装置,3
電気を使用する道具・装置_電気機器_ニッケル水素電池,2
電気を使用する道具・装置_電気機器_燃料ポンプ,3
電気を使用する道具・装置_電気装置,71
電気を使用する道具・装置_電気装置_配電用変圧器　　　　　　　　,3
電気を使用する道具・装置_電気装置_整流器　　　　　　　　　　　,7
電気を使用する道具・装置_電気装置_充電器　　　　　　　　　　　,6
電気を使用する道具・装置_電気装置_計器用変圧器　　　　　　　　,1
電気を使用する道具・装置_電気装置_トランス　　　　　　　　　　,2
電気を使用する道具・装置_電気装置_抵抗器　　　　　　　　　　　,3
電気を使用する道具・装置_電気装置_単相モータ　　　　　,3
電気を使用する道具・装置_電気装置_三相モータ　　　　　　　,5
電気を使用する道具・装置_電気装置_セルモータ　　　　　　　,4
電気を使用する道具・装置_電気装置_オルタネータ　　　　　　,1
電気を使用する道具・装置_電気装置_直流モータ,1
電気を使用する道具・装置_電気装置_コンデンサ（高圧）　　　　,1
電気を使用する道具・装置_電気装置_コンデンサ（低圧）　　　　,5
電気を使用する道具・装置_電気装置_コンデンサリアクトル　　　,1
電気を使用する道具・装置_電気装置_制御盤　　　　　　　　　　　,13
電気を使用する道具・装置_電気装置_分電盤　　　　　　　　　　　,15
電気を使用する道具・装置_電灯・電話等の配線,232
電気を使用する道具・装置_電灯・電話等の配線_送電線　　　　　　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_配電線（高圧）　　　　　　　,29
電気を使用する道具・装置_電灯・電話等の配線_配電線（低圧）　　　　　　　,7
電気を使用する道具・装置_電灯・電話等の配線_き電線（高圧）　　　　　　　,2
電気を使用する道具・装置_電灯・電話等の配線_引込線（高圧）　　　　　　　,4
電気を使用する道具・装置_電灯・電話等の配線_引込線（低圧）　　　　　　　,12
電気を使用する道具・装置_電灯・電話等の配線_屋外線　　　　　　　　　　　,10
電気を使用する道具・装置_電灯・電話等の配線_屋側線　　　　　　　　　　　,9
電気を使用する道具・装置_電灯・電話等の配線_屋内線　　　　　　　　　　　,56
電気を使用する道具・装置_電灯・電話等の配線_変電設備内配線　　　　　　　,7
電気を使用する道具・装置_電灯・電話等の配線_コード　　　　　　　　　　　,62
電気を使用する道具・装置_電灯・電話等の配線_電話線　　　　　　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_交通機関内配線　　　　　　　,24
電気を使用する道具・装置_電灯・電話等の配線_ディストリビュータ,8
電気を使用する道具・装置_配線器具関連,286
電気を使用する道具・装置_配線器具関連_タイムスイッチ　　　　　　　,1
電気を使用する道具・装置_配線器具関連_タンブラースイッチ　　　　　,2
電気を使用する道具・装置_配線器具関連_ロータリースイッチ　　　　　,3
電気を使用する道具・装置_配線器具関連_押しボタンスイッチ　　　　　,5
電気を使用する道具・装置_配線器具関連_街頭スイッチ　　　　　　　　,1
電気を使用する道具・装置_配線器具関連_ナイフスイッチ　　　　　　　,1
電気を使用する道具・装置_配線器具関連_電磁開閉器　　　　　　　　　,10
電気を使用する道具・装置_配線器具関連_配線用遮断器　　　　　　　　,17
電気を使用する道具・装置_配線器具関連_電流制限器　　　　　　　　　,4
電気を使用する道具・装置_配線器具関連_漏電遮断器　　　　　　　　　,11
電気を使用する道具・装置_配線器具関連_継電器　　　　　　　　　　　,2
電気を使用する道具・装置_配線器具関連_高圧カットアウト　　　　　　,2
電気を使用する道具・装置_配線器具関連_ヒューズホルダ　　　　　,1
電気を使用する道具・装置_配線器具関連_断路器（ジスコン）　　　　　,1
電気を使用する道具・装置_配線器具関連_空気遮断器　　　　　　　　　,1
電気を使用する道具・装置_配線器具関連_真空遮断器　　　　　　　　　,1
電気を使用する道具・装置_配線器具関連_電磁接触器,5
電気を使用する道具・装置_配線器具関連_気中開閉器,7
電気を使用する道具・装置_配線器具関連_避雷器,2
電気を使用する道具・装置_配線器具関連_差し込みプラグ　　　　　　　,85
電気を使用する道具・装置_配線器具関連_コンセント　　　　　　　　　,56
電気を使用する道具・装置_配線器具関連_電灯付家具・コンセント付家具,5
電気を使用する道具・装置_配線器具関連_テーブルタップ　　　　　　　,29
電気を使用する道具・装置_配線器具関連_マルチタップ　　　　　　　　,15
電気を使用する道具・装置_配線器具関連_コードコネクタ　,9
電気を使用する道具・装置_配線器具関連_引掛ローゼット　　　　　　　,1
