種別,計,製造所,貯蔵所／小計,貯蔵所／屋内,貯蔵所／屋外タンク,貯蔵所／屋内タンク,貯蔵所／地下タンク,貯蔵所／簡易タンク,貯蔵所／移動タンク,貯蔵所／屋外,取扱所／小計,取扱所／給油,取扱所／第1種販売,取扱所／第2種販売,取扱所／移送,取扱所／一般
計,27145,189,18291,3307,1115,2771,7682,25,2935,456,8665,4129,612,140,12,3772
第一類,22,－,18,17,－,1,－,－,－,－,4,－,2,1,－,1
第二類,39,1,30,28,－,－,1,－,1,－,8,－,1,－,－,7
第三類,6,－,6,6,－,－,－,－,－,－,－,－,－,－,－,－
第四類,26612,159,17935,2970,1110,2770,7681,25,2933,446,8518,4129,571,125,12,3681
第五類,20,2,17,17,－,－,－,－,－,－,1,－,－,－,－,1
第六類,25,2,20,14,5,－,－,－,1,－,3,－,－,－,－,3
混在,421,25,265,255,－,－,－,－,－,10,131,－,38,14,－,79
